idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
11,512,risk,0.208,0.2597,0.1801,1,1,1,1,1,1,0.1801,negative,0.5404,0.48062148690223694,기후변화·온실가스,E,Scope 1·2 배출량,"2023 2025년 자율참여 단계였던 GX-ETS를 끝내고, 올해부터는 연간 직접 배출량 10만 톤 이상인 300 400개 대기업에 참여를 의무화해, 일본 온실가스 배출의 약 60%를 한 번에 제도권 안으로 끌어들였다."
12,513,risk,0.2018,0.2524,0.1746,1,1,1,1,1,1,0.1746,negative,0.5239,0.48181235790252686,에너지 관리,E,신재생에너지 전환,전북 정읍시가 주민 주도형 신재생에너지 사업인 햇빛소득마을 조성에 본격적인 시동을 걸었다.
13,514,risk,0.2517,0.3358,0.1743,1,1,1,1,1,2,0.244,negative,0.5229,0.6421887278556824,에너지 관리,E,신재생에너지 전환,"농업 농촌 재생에너지 확산을 위해 농업 생산과 태양광 발전을 동시에 실현시킬 수 있는 영농형태양광 제도 도입과 함께 햇빛소득마을 조성, 지열 공기열 등 재생에너지를 활용하는 히트펌프 등 고효율 에너지 시설 확대 보급방안도 논의됐다."
14,515,risk,0.238,0.3531,0.176,1,1,1,1,1,1,0.176,negative,0.5279,0.6688902974128723,이사회 구조,G,이사회 구성 및 독립성,"송영숙 회장과 임주현 부회장 역시 이사회와 주총에서 의미 있는 견제력을 행사할 수 있는 위치에 있어, 특정 세력이 일방적으로 이사회 구성을 주도하기 어려운 균형 구도가 형성돼 있다는 분석이다. 현재 사내이사로 남아 있는 최인영 R D센터장이 대표적 사례다. 최 센터장은 송영숙 회장 측, 특히 임주현 부회장과 가까운 인물로 알려져 있다."
15,516,risk,0.2488,0.3248,0.2327,1,1,2,1,1,1,0.179,negative,0.5369,0.6048725843429565,이사회 구조,G,이사회 구성 및 독립성,"시장에서는 황 대표의 선택과 행보가 향후 한미약품의 지배구조 개편 방향을 좌우할 것으로 보고 있다. 단순한 관리형 CEO 를 넘어 실질적인 조정자이자 전략가로서 역할을 수행할 수 있을지가 관건이다. 동시에 이사회 독립성과 투명성을 강화하는 계기가 될 수 있을지, 아니면 또 다른 권력 충돌의 장으로 전락할지에 대한 우려도 공존한다."
16,517,risk,0.1963,0.2347,0.1757,1,1,1,1,1,1,0.1757,negative,0.5272,0.4452102780342102,기후변화·온실가스,E,Scope 1·2 배출량,"데이터센터 맵(DataCenter Map) 기준 서울시에 있는 36개의 민간 데이터센터 중 10개(27.8%)가 금천구에 집중되어 있으며, 그 뒤를 마포구(7개)와 서초구(5개)가 잇고 있다. 전력 사용량을 기준으로 보면 금천구의 밀집도는 더욱 높아진다. 금천구 내 10개 중 전력 사용 데이터를 공개한 7개 데이터센터만 집계해도 수전용량이 251MW에 달하며, IT 장비 전력은 160 164MW로 추정된다. 심지어 이는 금천구에 위치한 LG유플러스 가산 데이터센터(수전용량 40MW) 등이 누락된 수치다."
17,518,risk,0.2373,0.3099,0.2147,1,2,1,1,1,1,0.1789,negative,0.5368,0.5773247480392456,기후변화·온실가스,E,Scope 1·2 배출량,"특정한 지역에 데이터센터가 밀집하게 되면 환경 영향 역시 집중되기에 이에 대한 정보 공개와 관리가 필요하다. 그러나 기업들의 자료를 보면 각 데이터센터별 전력 사용량, 용수 사용량, 전력사용효율(PUE) 지표, 물사용효율(WUE) 지표를 제대로 공개하지 않고 있다."
18,519,risk,0.2211,0.3074,0.1747,1,1,1,1,1,1,0.1747,negative,0.5242,0.586342990398407,인적자원 관리,S,다양성 및 형평성 (DEI),기존의 형식적 장애인 고용 구조에 대해서는 한계를 지적했다. 그는 의무고용을 맞추기 위한 채용이 아니라 기업에 필요한 역할 중심으로 전환해야 한다 며 이렇게 되면 장애인 고용은 비용이 아니라 경쟁력이 된다 고 강조했다.
19,520,risk,0.2422,0.3175,0.2256,1,1,2,1,1,1,0.1736,negative,0.5207,0.6096660494804382,인적자원 관리,S,다양성 및 형평성 (DEI),정 회장은 일부 기업의 형식적 장애인 고용에 대해 ESG 워싱 가능성을 경고했다. 그는 실제 업무와 연결되지 않는 고용은 지속가능하지 않다 며 다양한 직무에서 역할을 만들어야 한다 고 강조했다.
20,521,risk,0.2555,0.365,0.2129,1,2,1,1,1,1,0.1774,negative,0.5323,0.6857300400733948,에너지 관리,E,신재생에너지 전환,질의서에는 총 5개 정책 과제가 포함됐다. 구체적으로 지방 공공기관 ESG 기반 통합 공시 체계 구축 친환경 선거수단 공공지원 및 탄소배출 관리 체계 마련 지자체 및 산하 공공부문이 민간 금융기관 선정 시 기후투자 실적 반영 지자체 공공조달에 기후정보 단계적 반영 지자체 및 산하 공공기관의 유휴부지 기반 전력구매계약(PPA) 계획입지 지정 및 지역기업 연계 체계 구축 등이다.
21,522,risk,0.2304,0.3343,0.1745,1,1,1,1,1,1,0.1745,negative,0.5236,0.6383953094482422,이사회 구조,G,이사회 구성 및 독립성,"이에 따라 이사회 구성과 독립성, 최고경영자 승계정책 등 기업가치와 직접적으로 연결되는 항목을 중심으로 지표를 보완해야 한다는 제안이 제시됐다. 특히 국제 기준과 비교해 부족한 이사회 관련 세부 공시 항목을 확충하는 것이 핵심 과제로 꼽혔다."
22,523,risk,0.2271,0.319,0.1776,1,1,1,1,1,1,0.1776,negative,0.5329,0.5985694527626038,기후변화·온실가스,E,Scope 3 배출량,이번 개정안에는 가치사슬 전반의 배출량을 의미하는 스코프3(Scope 3) 공시 도입 시기를 명시하는 조항은 포함되지 않았다. 스코프3는 공급망 전반을 포함하는 특성상 측정과 검증이 복잡한 영역이라는 점이 반영됐다.
23,524,risk,0.2723,0.2671,0.3577,3,3,1,1,1,1,0.1789,negative,0.5366,0.49785590171813965,기후변화·온실가스,E,Scope 1·2 배출량,"이는 같은 기간 온라인 유통채널 전체 환급액의 약 20% 수준으로 추정되며, 단일 유통기업 기준으로는 최대 규모다. 으뜸효율가전 환급사업 은 소비자가 에너지 효율이 높은 가전을 구매할 경우 구매 금액의 10%(1인당 최대 30만 원)를 환급해 주는 제도로, 민생경제 회복과 국가 전력 사용량 절감, 국내 가전 산업 경쟁력 강화를 동시에 도모하기 위해 정부가 시행했다."
24,525,risk,0.2301,0.2575,0.2481,1,3,1,1,1,1,0.1772,negative,0.5317,0.4843654930591583,에너지 관리,E,에너지 소비 및 효율화,"이같은 입체적인 지원은 1등급 효율 가전을 생산하는 중소기업들의 판로 확대로 이어졌다. 사업 기간 중소 가전 브랜드 카테고리 매출은 전년 대비 세 자릿수 이상 성장했으며, 우수한 기술력을 갖춘 중소기업들의 에너지 절감형 제품이 전국에 널리 보급됐다."
25,526,risk,0.2049,0.2514,0.1798,1,1,1,1,1,1,0.1798,negative,0.5393,0.46614766120910645,에너지 관리,E,에너지 소비 및 효율화,"쿠팡은 최근 국내 중소기업과 함께 에너지 절약 기획전 을 개최하는 등 정부의 에너지 절감 정책 기조에 맞춘 협력을 지속하고 있다. 쿠팡은 으뜸효율가전 환급사업 과 같은 정부 주도의 에너지 절약 캠페인에 향후에도 적극 참여함으로써 국가적인 에너지 절감 노력에 힘을 보태는 한편, 고객들이 고효율 가전을 더욱 경제적으로 구매할 수 있는 환경을 조성하는 데 앞장설 계획이다."
26,527,risk,0.2041,0.253,0.1777,1,1,1,1,1,1,0.1777,negative,0.533,0.4747251570224762,기후변화·온실가스,E,Scope 3 배출량,"올해는 철강, 알루미늄, 비료, 시멘트, 수소, 전력 등 총 6개 수출 제품이 대상이며 2028년부터 철강 알루미늄의 하류(다운스트림) 산업 품목(산업용 기계, 차량, 가전제품 등)까지 확대될 예정이다."
27,528,risk,0.2587,0.2186,0.3052,1,3,2,1,1,2,0.2513,negative,0.5386,0.4059450328350067,에너지 관리,E,신재생에너지 전환,"트럼프의 재집권으로 연방정부 차원의 ESG 정책은 중단되거나 퇴보했지만, 민주당 집권 주 정부 중심의 ESG 지속가능성 정책은 중단없이 추진되고 있으며, 미국 경제를 이끄는 글로벌 빅테크 기업들도 RE100 등 ESG경영을 계획대로 실행하고 있다."
28,529,risk,0.2397,0.306,0.2284,1,1,2,1,1,1,0.1757,negative,0.5271,0.5804753303527832,이사회 구조,G,이사회 구성 및 독립성,"논란의 핵심은 이사회 승인 절차 준수 여부다. 롯데홈쇼핑은 지난 1월 14일 이사회에서 내부거래 승인 안건을 상정했으나, 태광산업 측 이사들의 반대로 부결됐다. 그러나 이후 1 2월 사이 거래가 실제로 집행됐고, 이후 주주총회를 통해 이사회 구성을 변경한 뒤 3월 24일 이사회에서 사후 승인 절차를 진행한 것으로 알려졌다."
29,530,risk,0.2472,0.3795,0.1759,1,1,1,1,1,1,0.1759,negative,0.5278,0.7190915942192078,이사회 구조,G,이사회 구성 및 독립성,"BNK금융지주 이사회는 사내이사인 지주 회장과 사외이사 7명으로 구성돼 있고, 사외이사로만 회장 후보 추천위원회를 꾸리기 때문에 이사회 구성이 무엇보다도 중요하다. 이는 주주들의 목소리를 경영 전반에 반영할 수 있는 이사회 구조를 확립해 시장의 신뢰를 한층 더 끌어올리겠다는 의지의 표현이라고 BNK금융지주는 설명했다."
30,531,risk,0.2375,0.2846,0.2443,1,3,1,1,1,1,0.1745,negative,0.5235,0.5435538291931152,에너지 관리,E,신재생에너지 전환,"기후에너지환경부는 25일 오후 경북 김천시 어모면에서 열리는 삼성물산 김천 그린수소 생산설비 준공식 에 김성환 장관이 참석해 업계 관계자들을 격려하고 수전해 설비, 태양광 발전단지 시설 등을 살펴볼 계획이라고 밝혔다."
31,532,risk,0.2235,0.3073,0.1784,1,1,1,1,1,1,0.1784,negative,0.5352,0.5741760730743408,에너지 관리,E,신재생에너지 전환,김천 그린수소 생산설비는 2023년부터 약 3년의 건설기간을 거쳐 이날 준공했으며 태양광 발전(8.3MW)과 수전해 설비(10MW)를 활용해 연간 230톤의 그린수소를 생산할 수 있다. 특히 이 시설은 물을 전기 분해(수전해)해 수소를 생산하는 시설로 국내에서 가장 큰 규모이며 외부 전력망 활용을 최소화하고 재생에너지를 직접 연결하는 그린수소 생산 방식을 적용한다.
32,533,risk,0.3038,0.3556,0.3587,1,3,3,1,1,1,0.1794,negative,0.5381,0.6607863306999207,기후변화·온실가스,E,기후 거버넌스·인벤토리,국가 전력 배출계수 갱신주기가 3년에서 1년으로 단축되고 제품의 생산부터 판매까지 발생하는 모든 온실가스 정보가 목록화되는 등 온실가스 배출량 산정의 중요성이 강조되는 상황에서 기업의 온실가스 배출량 산정 역량 강화를 위해 전문가들이 한자리에 모인다.
33,534,risk,0.2412,0.29,0.2475,1,3,1,1,1,1,0.1768,negative,0.5303,0.546779990196228,기후변화·온실가스,E,기후 거버넌스·인벤토리,기후에너지환경부와 한국환경산업기술원은 26일 오후 비앤디파트너스(서울 용산구 소재)에서 관계 전문가와 산업계가 참여하는 전력 배출계수 고도화를 위한 정책토론회 를 개최한다고 밝혔다.
34,535,risk,0.2335,0.3358,0.1784,1,1,1,1,1,1,0.1784,negative,0.5353,0.6272534728050232,기후변화·온실가스,E,기후 거버넌스·인벤토리,"정부는 이러한 국제 환경변화에 대응하고 기업의 온실가스 배출량 산정을 지원하기 위해 작년 12월부터 최신 국가 전력 배출계수 갱신주기를 3년에서 1년 평균값으로 단축해 공표하기로 했다. 갱신주기 단축을 통해 재생에너지 원전 등 무탄소 발전 비중의 증가가 국가 전력 배출계수에 반영될 수 있도록 한 것이다. 제품의 온실가스 전과정평가에 활용되는 전과정목록 데이터베이스도 지속적으로 개발하고 있으며, 전과정 전력 배출계수도 올해 하반기부터 매년 현행화할 계획이다."
35,536,risk,0.2722,0.3853,0.1783,1,1,1,1,1,2,0.2497,negative,0.535,0.720237672328949,기후변화·온실가스,E,기후 거버넌스·인벤토리,"이번 정책토론회에서는 한국환경산업기술원이 국제 탄소규제정책과 국가 전과정목록 데이터베이스 개발 현황을 소개하고, 한국에너지공단은 온실가스 배출권거래제 등에서 활용되는 국가 전력 배출계수 개발 추진 현황을 발표한다. 이어 제품 전과정평가 시 활용되는 전력 전과정목록 데이터베이스개발 현황과 전과정 전력 배출계수의 주기적 갱신 방안도 소개된다."
36,537,risk,0.2719,0.3147,0.2489,1,3,1,1,1,2,0.2489,negative,0.5334,0.5899268984794617,기후변화·온실가스,E,기후 거버넌스·인벤토리,"이어지는 종합토론에서는 한국환경한림원, 대한상공회의소, 서울대학교, 에너지경제연구원 등 관련 분야 전문가와 산업계가 참여해 전력 배출계수 고도화를 위한 정책방향을 논의하고, 기업이 온실가스 배출량 산정과정에서 겪는 어려움과 정부의 지원 필요 사항에 대해 의견을 나눌 계획이다."
37,538,risk,0.2652,0.3574,0.182,1,1,1,1,1,2,0.2548,negative,0.546,0.6544952988624573,기후변화·온실가스,E,기후 거버넌스·인벤토리,"기후부는 지난 2023년부터 핵심 수출업종을 중심으로 스코프3 배출량 산정에 필요한 지원을 추진해 왔다. 이차전지, 반도체, 디스플레이 업종을 대상으로 특화된 산정방법론과 배출계수, 산정 사례를 포함한 스코프3 산정 국 영문 안내서를 발간 했다. 오는 4월에는 석유화학, 철강 업종 안내서를 발간한다."
38,539,risk,0.2614,0.3092,0.2276,1,1,2,1,1,2,0.2451,negative,0.5252,0.5886875987052917,이사회 구조,G,이사회 구성 및 독립성,"이와 관련, 한진칼이 올해 주총 안건으로 집중투표제 배제 조항 삭제를 올린 만큼 내년부터는 이사회 구성이 다소 달라질 수 있고 변곡점이 도래할 것이라는 전망이 나온다."
39,540,risk,0.2329,0.3361,0.1774,1,1,1,1,1,1,0.1774,negative,0.5321,0.631580650806427,윤리경영·준법,G,반부패 및 컴플라이언스,"한국ESG평가원 손종원 대표는 거버넌스 개선을 위해서는 컴플라이언스 개선 노력, 지배구조 핵심지표 준수율 제고, 주주총회 집중일 이외 개최, 최고경영자 승계 규정 제정, 통합 리스크 관리체계 구축 등이 반드시 필요하다 고 말했다."
40,541,risk,0.2251,0.3114,0.1787,1,1,1,1,1,1,0.1787,negative,0.536,0.5810101628303528,에너지 관리,E,신재생에너지 전환,"환경 분야에서 코웨이는 더 나은 지구를 만드는 기업 이라는 비전 아래 기후변화 대응에 앞장서고 있다. 2050년 탄소중립(Net-zero) 및 신재생에너지 100% 전환 을 선언하고, 2033년까지 온실가스 배출량을 2023년 대비 50% 감축한다는 목표를 세웠다."
41,542,risk,0.3165,0.2748,0.232,1,1,2,1,3,2,0.4639,negative,0.5353,0.5133386254310608,기후변화·온실가스,E,Scope 3 배출량,"자산 10조 30조원 규모 코스피 상장사의 약 70%는 2029년 ESG 공시 대응이 가능하다고 답했고, 스코프3(Scope 3) 역시 절반에 가까운 기업이 2032년 대응이 가능하다고 전망했다. 다만 공시 범위 확대에 따라 데이터 확보와 인력 부담은 동시에 커지고 있어, 준비 진전과 구조적 한계가 병존하는 양상이다."
42,543,risk,0.2123,0.283,0.1742,1,1,1,1,1,1,0.1742,negative,0.5225,0.5417024493217468,이사회 구조,G,이사회 구성 및 독립성,"이날 5명의 이사 자리를 놓고 벌인 표 대결에서 최 회장 측 추천 후보 3명, MBK 영풍 측 후보 2명이 각각 이사로 선임되면서 이사회 구성이 11대 4에서 9대 5로 재편돼 과반을 훌쩍 뛰어넘으며 최 회장 측 우세가 유지됐다."
43,544,risk,0.2604,0.4092,0.1803,1,1,1,1,1,1,0.1803,negative,0.5408,0.7567257881164551,이사회 구조,G,이사회 구성 및 독립성,"이사회 독립성과 투명성을 강화하라는 투자자와 시장의 압력이 커지는 가운데, 일부 기업들이 이사회 의장을 사외이사로 선임하는 구조 전환에 속도를 내고 있다. 대표이사와 이사회 의장을 분리해 경영 감시 기능을 극대화하려는 시도다. 이는 기존의 총수 CEO 중심 의사결정 구조 에서 벗어나 견제와 균형을 강화하는 방향으로의 변화로 평가된다."
44,545,risk,0.2368,0.3483,0.1767,1,1,1,1,1,1,0.1767,negative,0.5302,0.6568496227264404,이사회 구조,G,이사회 구성 및 독립성,"이 같은 변화의 배경에는 국민연금 등 기관투자가의 스튜어드십 코드 강화가 자리하고 있다. 의결권 행사 과정에서 이사회 독립성을 핵심 평가 요소로 삼으면서, 사외이사 의장체제 도입 여부가 기업가치와 직결되는 요소로 부각되고 있기 때문이다. 실제로 일부 기업들은 주주총회를 앞두고 지배구조 개선 방안을 선제적으로 내놓으며 시장 신뢰 확보에 나서고 있다."
45,546,risk,0.2457,0.3056,0.2458,1,3,1,1,1,1,0.1756,negative,0.5268,0.5801243185997009,이사회 구조,G,이사회 구성 및 독립성,"다음 타자로 거론되는 곳은 현대차와 한화그룹이다. 현대차그룹은 그간 정의선 회장이 현대차와 기아의 의장을 겸직하며 강력한 리더십을 유지해왔지만, 글로벌 투자자비중이 높은 만큼 지배구조개선 요구에서도 자유롭지 않다. 특히 이사회 독립성 강화와 관련한 지적이 지속적으로 제기돼온 만큼, 사외이사 의장체제 도입여부가 향후 핵심 과제로 떠오르고 있다."
46,547,risk,0.2733,0.2741,0.1756,1,1,1,1,3,1,0.3863,negative,0.5268,0.5203054547309875,기후변화·온실가스,E,Scope 3 배출량,"현재 금융위는 연결자산 30조 원 이상 코스피 상장사를 대상으로 2028년부터 ESG 공시를 단계적으로 의무화하고, 스코프3(Scope 3)는 3년 유예한 2031년부터 적용하는 방안을 제시한 상태다. 아울러 한국거래소 공시를 먼저 시행한 뒤 법정공시로 전환한다는 계획도 제시했다."
47,548,risk,0.2019,0.2505,0.1757,1,1,1,1,1,1,0.1757,negative,0.5272,0.4751124382019043,에너지 관리,E,신재생에너지 전환,"최근 정부가 88개 주요 공공기관을 대상으로 공공기관 K-RE100 을 공식 출범시켰다. 또한 이를 공공기관 경영평가 지표에 반영하고, 법제화하겠다는 방침도 세웠다."
48,549,risk,0.2419,0.288,0.2501,1,3,1,1,1,1,0.1787,negative,0.536,0.5372704863548279,에너지 관리,E,신재생에너지 전환,"우리나라는 전 세계에서 재생에너지 조달이 가장 어려운 국가 중 하나이다. RE100 연례보고서 2024 에 따르면 글로벌 기업들의 재생에너지 사용 비중이 평균 53%에 달할 때 한국은 고작 12%에 불과하며, 실질적인 에너지 전환 수단인 전력구매계약(PPA) 비중은 단 1%에 머물러 있다."
49,550,risk,0.221,0.3027,0.177,1,1,1,1,1,1,0.177,negative,0.5309,0.5702537894248962,에너지 관리,E,신재생에너지 전환,이러한 자원 배분의 왜곡은 공공기관이 재생에너지를 직접 생산하는 경우에도 동일하게 나타난다. 최근 공공기관이 태양광 및 풍력발전소를 직접 운영하며 신재생에너지 에너지 생산을 확대하려고 하는 노력은 그 자체로 고무적이다.
50,551,risk,0.2462,0.303,0.2484,1,3,1,1,1,1,0.1774,negative,0.5323,0.569301962852478,에너지 관리,E,신재생에너지 전환,"그러나 여기서 얻은 재생에너지 실적을 해당 기관의 RE100 달성이라는 상징적 성취를 위해 소진하는 것이 과연 국가적으로 최선인가를 물어야 한다. 지금처럼 재생에너지가 희소한 시기에는 공공기관이 자사 실적을 위해 에너지를 평가목적의 내부적으로만 활용하기보다, 이를 글로벌 공급망 대응이 급한 민간 수출 제조 기업에 양보하는 것이 공공기관 본연의 사회적 책임(CSR)에 부합한다."
51,552,risk,0.2458,0.3075,0.1795,1,1,1,1,1,2,0.2513,negative,0.5384,0.5711902976036072,기후변화·온실가스,E,Scope 1·2 배출량,더욱 본질적인 지점은 국가 온실가스 감축 목표(NDC) 달성을 위한 실효성이다. 우리나라는 2035년까지 2018년 대비 온실가스를 약 53 61% 감축해야 한다. 현재 공공기관들이 추진하는 K-RE100은 대부분 전기를 사는 사람 의 간접배출인 Scope 2에 치중해 있다.
52,553,risk,0.2849,0.3053,0.3561,3,3,1,1,1,1,0.1781,negative,0.5342,0.5714702606201172,기후변화·온실가스,E,Scope 1·2 배출량,이는 단순히 기존 재생에너지의 권리를 이전받는 것으로 국가 전체의 탄소 배출량 총량을 줄이는 데 영향을 미치지 않는 제로섬 게임 에 불과하다. 진정으로 NDC를 달성하기 위해서는 전기를 직접 생산하는 발전 공기업 의 직접 배출(Scope 1)을 줄이고 기타 공공기관들이 신재생에너지를 생산하는데 초점을 맞춰야 한다.
53,554,risk,0.2356,0.3419,0.1783,1,1,1,1,1,1,0.1783,negative,0.5348,0.6392883658409119,에너지 관리,E,신재생에너지 전환,"이제는 공공기관 전반에 K-RE100을 강요하며 민간의 에너지를 뺏을 것이 아니라, 발전 공기업의 발전 믹스 개선과 직접적인 배출 저감 성과를 경영평가의 핵심 지표로 삼아야 한다. 화력발전 비중을 낮추고 실질적인 신재생에너지 공급량을 늘리는 발전 단에서의 근본적인 저탄소 전환만이 국가 NDC를 실질적으로 견인할 수 있다."
54,555,risk,0.2407,0.2826,0.2513,1,3,1,1,1,1,0.1795,negative,0.5384,0.5249630212783813,에너지 관리,E,신재생에너지 전환,"결론적으로 공공기관에 대한 K-RE100 의무화와 이를 모든 공공기관 경영평가에 반영하는 정책에 대해 재검토가 필요한 지점이 있다. 대부분의 공공기관은 내수 기업이며, 이들이 재생에너지를 선점하는 것은 수출 기업의 생산 원가를 높여 국가 경쟁력을 약화시키는 결과를 초래한다."
55,556,risk,0.2716,0.3375,0.2855,3,1,1,1,1,1,0.1784,negative,0.5353,0.6305480003356934,기후변화·온실가스,E,Scope 1·2 배출량,"경영평가는 기관의 만족이 아닌 국가의 이익을 측정하는 잣대가 되어야 한다. 단순히 재생에너지 구매량 을 묻는 방식에서 벗어나, 얼마나 합리적인 단가에 재생에너지를 생산했는지, 생산된 에너지를 민간 수출 기업의 경쟁력 확보를 위해 얼마나 넘겨줬는지, 그리고 발전사로서 직접 배출(Scope 1)을 얼마나 실질적으로 감축했는지를 평가의 중심으로 삼아야 한다."
56,557,risk,0.2059,0.2544,0.1798,1,1,1,1,1,1,0.1798,negative,0.5395,0.47162628173828125,기후변화·온실가스,E,Scope 3 배출량,"작년 말 EU 집행위원회가 발표한 CBAM 개정안은 규제 대상을 기존 철강 알루미늄 등에서 기계류, 전자기기, 수송기계, 정밀 의료 계측기기 등 다운스트림(전방산업) 품목으로 확대하는 내용을 담고 있다. 개정안은 향후 유럽의회 승인을 거쳐 2028년 1월부터 시행될 예정이다."
57,558,risk,0.2409,0.2456,0.2302,1,1,2,1,1,2,0.2479,negative,0.5312,0.4622858166694641,기후변화·온실가스,E,Scope 3 배출량,보고서는 신규 추가될 다운스트림 품목의 94%가 철강 알루미늄 함량이 높은 산업용이라며 CBAM의 영향권이 더욱 확대될 수 있다고 전망했다.
