idx,db_id,iro,time_horizon,direction,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
11,212,리스크_단기,단기,리스크,0.345,0.3331,0.343,3,1,2,1,2,2,0.3611,negative,0.5416,0.6150517463684082,에너지 관리,E,신재생에너지 전환,LS일렉트릭이 초고압 전력기기 사업 확대를 위해 1000억원을 투자한다. 전 세계적으로 신재생에너지 증가와 노후 전력망 교체로 급증하고 있는 초고압 전력기기 수요에 적극 대응하기 위해서다. LS일렉트릭은 13일 이사회에서 부산사업장의 초고압 변압기 시설 투자를 위해 205억원을 추가 투자하는 안건을 의결했다고 공시했다. 이번 투자에 따른 라인 최적화 및 비용 절감을 통해 2027년부터는 총 7000억원 규모로 캐파 가 늘어날 것으로 전망됐다.
12,213,리스크_장기,장기,리스크,0.2354,0.2064,0.3099,1,3,2,1,1,1,0.1823,negative,0.5469,0.37732115387916565,에너지 관리,E,신재생에너지 전환,"삼성물산 상사부문이 미국에서 본격적으로 전기차 충전 사업에 뛰어들었다. 이를 위한 별도 법인까지 설립했다. 2일 업계에 따르면, 삼성물산은 지난 4월 미국 델라웨어주에 삼성물산 차징 솔루션 이라는 별도 법인을 설립했다. 이 법인은 미국 법인인 삼성물산 아메리카 의 산하 계열사로 미국 내 전기차 충전 사업을 전담한다. 삼성물산이 전기차 충전 사업을 시작하면서 기존에 진행 중인 태양광 발전 및 ESS 개발 사업 등 다른 신재생 에너지 사업과의 연계도 예상됐다."
13,214,리스크_장기,장기,리스크,0.2955,0.3742,0.3125,1,3,2,1,1,1,0.1838,negative,0.5515,0.6785643100738525,기후변화·온실가스,E,Scope 3 배출량,"도이치 은행은 글로벌 화학기업 바스프(BASF)의 첫 ESG 연계 공급망 금융지원(Sustainable Supply Chain Finance, SSCF) 프로그램을 출범했다. BASF는 중국을 중심으로 아시아의 협력사에게 금융지원 프로그램을 제공하고 있었으나, 이를 ESG 성과와 연계하는 지속가능 금융지원 형태로 전환했다. 이를 통해 BASF는 협력사의 지속가능성을 장려하고 스코프 3(Scope 3 공급망간접배출) 배출 감축을 도모하겠다고 밝혔다. 바스프는 대표적인 공급망 지속가능성 평가업체 에코바디스(EcoVadis)를 통해 협력사의 ESG 성과를 측정할 예정이다."
14,215,리스크_장기,장기,리스크,0.3443,0.2967,0.3447,3,1,2,1,3,1,0.3992,negative,0.5443,0.5451354384422302,에너지 관리,E,신재생에너지 전환,"거대 에너지 기업 셰브론이 아이오와에 있는 바이오 디젤 공장의 전력을 태양광 패널로 43% 대체하는 작업을 시작했다. 영국의 지속가능성 미디어 환경리더에 의하면, 이 프로젝트는 2028년까지 저탄소 계획에 80억달러(약 11조원), 특히 탄소 감소 프로젝트에 20억달러(약 2조7830억원)를 투자하려는 셰브론의 전략이다. 이 작업을 실제로 실행하는 기업은 셰브론 재생에너지 그룹(Chevron Renewable Energy Group)이다. 셰브론 재생에너지 그룹은 아이오와의 메이슨 시티(Mason City)에 있는 바이오디젤 생산 시설의 대대적인 개선에 착수했다."
15,216,리스크_단기,단기,리스크,0.2223,0.2946,0.1833,1,1,1,1,1,1,0.1833,negative,0.55,0.5357033610343933,인적자원 관리,S,다양성 및 형평성 (DEI),"해외 기업들이 미국 공화당과 일부 자산 관리자들의 압박을 못 이기고 다양성과 환경 관련 조치를 철회하고 있는 것으로 나타났다. 파이낸셜타임스(FT)는 어드밴스드 마이크로 디바이시스를 포함한 약 12개 기업이 올해 임원 인센티브 계획에서 다양성 형평성 포용성(DEI) 기준을 제외했다고 보도했다. 이들 12개 기업은 도널드 트럼프 전 대통령의 지지자인 비벡 라마스와미가 설립한 반ESG 자산운용사 스트라이브의 압력으로 임원 보수 계획에서 ESG 인센티브를 제외한 60개 기업 중 일부이기도 하다. 매트 콜 스트라이브 최고경영자(CEO)는 기업들이 DEI와 ESG 측정 기준에서 벗어나는 움직임을 환영하며, 이 결정이 임원 인센티브 제도를 개선했다 고 말했다."
16,217,리스크_장기,장기,리스크,0.1626,0.132,0.179,1,1,1,1,1,1,0.179,negative,0.5369,0.24591366946697235,인적자원 관리,S,다양성 및 형평성 (DEI),"공화당의 기업 DEI 이니셔티브에 대한 압력이 증가하는 가운데, 기업들은 이를 축소하기 위해 서두르고 있다."
17,218,리스크_장기,장기,리스크,0.2522,0.3104,0.2544,1,3,1,1,1,1,0.1817,negative,0.5451,0.569499671459198,에너지 관리,E,신재생에너지 전환,"태양광 발전 패널도 시장 가격을 실시간으로 평가받게 됐다. S P글로벌은 미국, 유럽, 아시아의 태양광 발전 패널에 대한 일별 현물시장 가격 평가를 최초로 시작했다고 밝혔다. S P글로벌은 태양광 기술이 점차 상품화되면서 태양광 모듈 가격이 투명하게 공개되도록 하기 위해 이 서비스를 시작했다고 설명했다."
18,219,리스크_단기,단기,리스크,0.2816,0.4054,0.1815,1,1,1,1,1,2,0.2541,negative,0.5446,0.744422197341919,기후변화·온실가스,E,기후 거버넌스·인벤토리,"SK에코플랜트의 기업 탄소관리 플랫폼 웨이블 디카본(WAYBLE decarbon)이 한국경영인증원(KMR)으로부터 국내 첫 GIS(온실가스 인벤토리 시스템) 인증을 획득했다고 밝혔다. GIS 인증은 탄소배출량 산정 시스템의 적합성을 검증하는 인증체계로, SK에코플랜트는 배출계수 산정방법, 배출량 산정 근거, 데이터의 적합성 등 심사를 통과해 인증을 취득했다. 이번 인증으로 웨이블 디카본의 고객은 탄소배출량 산정 작업의 효율성 증대와 더불어 온실가스 배출 검증과정에서 비용과 시간 부담도 줄일 수 있을 것으로 기대된다."
19,220,리스크_단기,단기,리스크,0.3124,0.3498,0.3257,1,2,3,1,1,2,0.2533,negative,0.5428,0.6443681120872498,에너지 관리,E,신재생에너지 전환,"수소-석탄 혼소 발전이 재생에너지로 생산한 전기를 100% 쓴다 는 재생에너지100(RE100) 인증에서 제외될 것으로 보여졌다. 수소-석탄을 섞어 발전하는 게 RE100 기준에 맞지 않다는 뜻이다. 우리나라 기업들이 추진하는 다양한 형태의 혼소 발전에도 영향을 줄 것으로 전망됐다. 15일 탄소정보공개프로젝트(CDP) 한국위원회 등에 따르면, 이 위원회 김태한 수석연구원은 산업통상자원부와 한국에너지공단이 주최한 자발적 재생에너지 정책 설명회 에서 2024년 RE100 기술기준 개정을 위한 의견 수렴 결과 대다수가 수소-석탄 혼소 발전에 부정적 의견을 보였다 고 밝혔다. 이에 따라 올해 말 이사회를 통해 최종 확정될 새로운 RE100 기술 기준에서는 수소-석탄 혼소 발전을 제외할 것으로 예상됐다."
20,221,리스크_단기,단기,리스크,0.3397,0.2927,0.365,3,3,1,1,2,2,0.365,negative,0.5475,0.5345603823661804,에너지 관리,E,신재생에너지 전환,"신한자산운용이 미국 민자발전사업자(Independent Power Producer, IPP)인 엔피니티 글로벌(Enfinity Global)의 일본 태양광 프로젝트에 자금을 지원했다. 프로젝트 규모는 250MW(메가와트)에 이른다. 엔피니티 글로벌은 신한자산운용과 맥쿼리 캐피탈이 주도하는 신디케이트 파트너십을 통해 1억6400만달러(약 2270억원)의 자금을 조달했다고 밝혔다. 이번 자금은 엔피니티 글로벌이 일본에서 추진 중인 250MW 규모 태양광 발전 프로젝트에 투입된다."
21,222,리스크_단기,단기,리스크,0.3492,0.3467,0.401,3,1,3,1,2,1,0.2916,negative,0.5468,0.6339974403381348,에너지 관리,E,신재생에너지 전환,"기후솔루션은 한국서부발전이 재생에너지 녹색채권으로 조달한 자금을 가스발전에 사용하는 등 거짓 기재했다며, 자본시장과 금융투자업에 관한 법률 위반 혐의로 금융감독원에 4일 신고했다. 기후솔루션에 따르면, 서부발전은 신재생에너지 사업 투자 목적으로 2회에 걸쳐 3200억원 규모의 녹색채권을 발행해 조달한 자금을 전액 가스 열병합발전소 건설에 투입했다. 서부발전은 한국형 녹색분류체계 가이드라인에 따르면, LNG 및 혼합가스 기반 발전설비도 녹색채권 투자대상 이라며 52회 집행내역은 발행시점인 2022년 5월 자금집행이 미확정인 상황에서 향후 변경가능성을 고려해 작성된 것으로, 당사 및 한국거래소 홈페이지 사후보고서에는 김포열병합 건설사업에 사용한 것으로 공시했다 고 입장을 냈다."
22,223,리스크_장기,장기,리스크,0.2278,0.2631,0.2337,1,1,2,1,1,1,0.1797,negative,0.5392,0.4880341589450836,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,"한국지속가능성인증협회(KOSRA, Korea Sustainability Reporting Assurance Association)가 17일 한국프레스센터에서 창립총회를 열고 공식 출범했다."
23,224,리스크_단기,단기,리스크,0.3389,0.2755,0.3814,3,2,2,1,2,2,0.3633,negative,0.5449,0.5056435465812683,에너지 관리,E,신재생에너지 전환,"한국수출입은행(이하 수은)이 호주 희토류 광산 개발사업에 프로젝트파이낸싱(PF) 방식으로 대출 7500만달러(약 1036억원), 보증 7500만달러(약 1036억원) 등 총 1억5000만달러(약 2073억원)를 지원했다. 3일 수출입은행에 따르면, 호주 희토류 광산 개발사업은 아라푸라사가 호주 중북부 노던준주의 앨리스스프링스 인근 지역에서 희토류를 개발하는 프로젝트다. 수은의 금융지원으로 전기차와 신재생에너지 제조공정에 필요한 희토류의 일종인 네오디뮴-프라세오디뮴(NdPr) 산화물을 연간 1500톤 정도 규모로 최대 12년간 우리 기업에 공급할 수 있을 것으로 전망됐다."
24,225,리스크_단기,단기,리스크,0.3347,0.3543,0.2906,3,1,1,1,2,2,0.3632,negative,0.5448,0.6503869891166687,에너지 관리,E,신재생에너지 전환,"LS일렉트릭이 국내 최대 규모 간척지 태양광발전소 구축 사업자로 선정되며 신재생에너지 발전 시장 공략에 재시동을 걸었다. LS일렉트릭 컨소시엄(LS일렉트릭 탑솔라)은 최근 GS에너지 자회사 지에스당진솔라팜과 사업비 약 1062억원 규모, 발전용량 120메가와트( )급 태양광발전소 구축 EPC(설계 조달 시공) 사업 계약을 체결했다고 26일 밝혔다. LS일렉트릭에 따르면, 이번 사업은 지에스당진솔라팜이 충남 당진시 석문면에 대호만 방조제 건설로 조성된 간척지 100만 부지에 120 급 태양광 발전소를 구축하는 프로젝트다. 국내 최대 규모로 사업기간은 내년 12월까지다."
25,226,리스크_장기,장기,리스크,0.2326,0.3292,0.1806,1,1,1,1,1,1,0.1806,negative,0.5417,0.6077807545661926,에너지 관리,E,신재생에너지 전환,"한화솔루션 큐셀부문(이하 한화큐셀)이 국내 기업의 재생에너지 확대와 RE100 달성을 지원하는 에너지컨설팅 사업을 본격적으로 전개한다. 한화큐셀은 국내 사업장을 보유한 재생에너지 수요 기업을 대상으로 에너지 컨설팅부터 주요 기자재(태양광 모듈 인버터) 공급, 시공, 금융, 연계 사업에 이르는 토털 솔루션을 제공한다고 밝혔다. 한화큐셀은 태양광 제조 역량을 발판 삼아 한국에서도 그린에너지 확대를 돕는 원스톱 솔루션을 제공하는 에너지 기업으로 나아갈 방침이다."
26,227,리스크_장기,장기,리스크,0.2563,0.2833,0.2923,3,1,1,1,1,1,0.1827,negative,0.548,0.5170152187347412,에너지 관리,E,신재생에너지 전환,"효성중공업은 미국 테네시주 멤피스와 경남 창원에서 각각 운영하는 초고압변압기 공장을 증설한다고 밝혔다. 약 1000억원을 투자해 총 생산능력을 40% 확대한다는 계획이다. 신재생에너지 발전 수요와 AI, 전기차, 반도체 산업의 급부상으로 세계 각국에서 전력망 인프라 수요가 늘어난 데 따른 결정이다."
27,228,리스크_단기,단기,리스크,0.2474,0.3029,0.1837,1,1,1,1,1,2,0.2571,negative,0.551,0.549813449382782,에너지 관리,E,신재생에너지 전환,삼성물산이 카자흐스탄에 태양광 발전 및 에너지 저장 시설 등 재생에너지(RES) 사업 진출을 도모했다. 카자흐스탄 투자위원회는 정승찬 현지 법인장과 가비돌라 오스판쿨로브 투자위원회 위원장의 회담을 통해 이 같은 내용의 협력 방안을 논의했다고 밝혔다. 양측은 이번 회담을 통해 에너지 분야 협력을 강화하고 향후 프로젝트 실행을 위한 구체적인 방안을 논의하기로 합의했다.
28,229,리스크_단기,단기,리스크,0.265,0.3494,0.1853,1,1,1,1,1,2,0.2595,negative,0.556,0.6284378170967102,에너지 관리,E,신재생에너지 전환,"SK에코플랜트가 올해 베트남 산업단지 내 지붕 태양광(Roof Top Solar) 조성 사업에 본격적으로 나섰다. 태양광 전력 생산은 물론 탄소배출권 확보를 통해 부가가치 창출에도 속도를 내겠다는 방침이다. SK에코플랜트는 베트남 산업단지를 중심으로 자가소비형 지붕 태양광 발전설비 보급을 확대해 나갈 계획이다. 또, SK에코플랜트와 한국지질자원연구원이 윤석열 대통령의 카자흐스탄 순방 길에 동행해 리튬 광구 개발 등 핵심 광물 자원 확보와 에너지 분야 사업 협력을 논의했다."
29,230,리스크_단기,단기,리스크,0.3162,0.3026,0.29,3,1,1,1,2,2,0.3625,negative,0.5438,0.5565390586853027,에너지 관리,E,신재생에너지 전환,KB국민은행이 미국 재생에너지 기업 베스퍼에너지(Vesper Energy)에 자금을 지원했다. 기후변화에 대응하기 위한 ESG 금융을 지속해서 확대하는 모습이다. 베스퍼에너지는 5억9200만달러(약 8200억원) 규모 신디케이트론(집단대출) 조달을 완료했다고 밝혔다. 베스퍼에너지는 이번에 조달한 자금을 텍사스 북서부 스위셔 카운티에 개발 중인 태양광 발전 사업에 투입할 방침이다.
30,231,리스크_장기,장기,리스크,0.2982,0.3963,0.237,1,1,2,1,1,2,0.2553,negative,0.547,0.7245737314224243,에너지 관리,E,에너지 소비 및 효율화,"산업통상자원부는 31일 제11차 전력수급기본계획(이하 전기본) 실무안을 공개하며, 신재생에너지와 원자력 발전의 중장기적 확대 방안을 제시했다. 이번 계획은 무탄소 에너지 비중을 높이고, 국가 온실가스 감축 목표(NDC) 달성을 위해 중요한 정책적 전환을 예고했다. 특히, 무탄소 전원 비중을 70%까지 끌어올려 전력 공급의 안정성을 확보하면서도 환경적 지속가능성을 추구하는 것이 이번 계획의 핵심이다. 이를 위해 태양광 및 풍력 설비의 대폭 확대, 수소 발전의 적극적인 도입, 에너지 효율 개선을 위한 다양한 정책이 함께 추진된다."
31,232,리스크_장기,장기,리스크,0.2707,0.2612,0.3585,3,3,1,1,1,1,0.1793,negative,0.5378,0.4856570065021515,이사회 구조,G,이사회 구성 및 독립성,"금융권 여성 사외이사 비율이 20%에 불과한 것으로 나타났다. 지난해보다 소폭 증가했지만 전체 사외이사 수가 증가함에 따라 여성 사외이사가 늘어났다는 지적이 나왔다. 이사회 다양성은 다양한 이해관계자들의 시각을 반영하는 만큼 지배구조(G) 강화에 필수 요건이지만, 금융권은 ESG 추세에 역행하고 있다는 지적이다. 23일 금융감독원 전자공시시스템에 따르면, 16개 금융지주와 은행의 이사회를 분석한 결과, 지난 1분기 기준 전체 100명의 사외이사 중 여성은 20명에 불과했다. 비율로는 20%였다."
32,233,리스크_단기,단기,리스크,0.3318,0.3485,0.2894,3,1,1,1,2,2,0.3618,negative,0.5427,0.6421219706535339,에너지 관리,E,신재생에너지 전환,"산업부가 신재생에너지 핵심기술 고도화를 통해 온실가스를 감축하고자 풍력, 수소, 연료전지 관련 연구개발사업에 총 649억7500만원을 투입한다. 산업부는 이 같은 내용을 골자로 하는 2024년도 제2차 신재생에너지R D 신규지원대상 연구개발과제 의 신청 접수를 6월 3 24일까지 받는다고 24일 밝혔다. 구체적으로 풍력(5개 과제 279억원) 수소(5개 과제 138억원) 연료전지(3개 과제 96억7500만원) 중소형급 무탄소 가스터빈 발전기술개발 및 실증(2개 과제 20억원) 차세대 태양전지 실증사업(1개 과제 10억원) 태양광(5개 과제 106억원) 등 분야서 총 26개 과제가 추진된다."
33,234,리스크_단기,단기,리스크,0.3127,0.3086,0.3655,2,3,2,1,1,2,0.2558,negative,0.5482,0.5629041194915771,에너지 관리,E,신재생에너지 전환,"고려아연이 자회사 아크에너지를 통해 호주 뉴잉글랜드 지역에 340메가와트(MW)급 풍력발전 단지 조성을 추진하는 것으로 나타났다. 고려아연이 신사업으로 추진 중인 그린수소사업 강화의 일환으로, 호주 현지 내 신재생에너지 생산에 상당한 보탬이 될 것으로 전망됐다. 16일 투자은행(IB) 업계에 따르면, 아크에너지는 뉴사우스웨일스(NSW)주 뉴잉글랜드의 아미데일(Armidale) 지역에 풍력발전소 프로젝트 도우보이 윈드팜(Doughboy Wind Farm) 개발을 추진 중이다."
34,235,리스크_단기,단기,리스크,0.2519,0.2678,0.235,1,1,2,1,1,2,0.253,negative,0.5422,0.4938787519931793,에너지 관리,E,신재생에너지 전환,"미국 연방 에너지규제위원회(FERC)가 바이든 정부의 친환경 에너지 인프라 구축 계획의 핵심으로 꼽히는 전력망 강화 계획을 승인했다. FERC는 찬반투표를 거쳐, 미국 전역의 전력 공급을 안정화해 친환경 에너지 수요에 대응하기 위한 개혁 안건이 통과됐다고 밝혔다. 뉴욕타임스는 이번 전력망 개혁안에 따라 풍력 및 태양광 발전소와 고전압 전선을 연결하는 일이 쉬워질 것이라고 전망했다."
35,236,리스크_장기,장기,리스크,0.2199,0.2889,0.1828,1,1,1,1,1,1,0.1828,negative,0.5485,0.526631772518158,에너지 관리,E,신재생에너지 전환,"15일 관계부처에 따르면, 산업부는 이르면 다음주 신규 원전 건설 방향 등을 담은 11차 전력수급기본계획(전기본) 초안을 공개한다고 밝혔다. 이번 11차 전기본에는 2024년부터 2038년까지의 전력수급계획이 담겼다. 이번 전기본 발표의 핵심은 신규 원전 건설 여부다. 정부는 당초 11차 전기본에 총 10기의 기존 원전 계속운전과 신규 원전 2 4기 건설을 포함하고, 신재생에너지 보급 속도를 조절하는 내용을 계획한 것으로 알려졌다. 그러나 총선 이후엔 여소야대 국회에서 야당과의 협치를 이유로 원전 확대보단 신재생에너지 확대 정책에 무게가 실릴 것이라는 관측이 나왔다."
36,237,리스크_장기,장기,리스크,0.258,0.2727,0.3088,1,3,2,1,1,1,0.1816,negative,0.5449,0.5004301071166992,에너지 관리,E,신재생에너지 전환,"한미 양국이 중국산 저가 태양광 제품에 공동 대응하기로 한 가운데, 우리 정부가 탄소 장벽 을 앞세워 중국산 패널에 대한 금융 지원을 차단하기로 했다. 7일 산업통상자원부 등에 따르면, 한국에너지공단을 통해 진행되는 신재생에너지 금융 지원 사업의 자격 요건이 대폭 강화됐다. 막대한 보조금을 등에 업고 물량 공세를 펴고 있는 중국산 저가 태양광으로 인해 국내 무탄소에너지 생태계가 붕괴할 수 있다는 우려에서라는 설명이다. 준조세 성격인 전력산업기반기금이 중국 제품에 대거 지원되는 것을 막아야 한다는 산업계의 주장에 정부가 호응한 것이라는 평가도 나왔다."
37,238,리스크_장기,장기,리스크,0.2637,0.2932,0.2393,1,1,2,1,1,2,0.2577,negative,0.5522,0.5309956073760986,인적자원 관리,S,다양성 및 형평성 (DEI),"해양수산부는 해양생물 다양성의 체계적인 보전과 지속 가능한 이용을 위해 해양생물 다양성 보전대책 을 마련하고, 18일 국무총리 주재로 열린 제37회 국정현안 관계장관회의 에서 발표했다. 해수부는 보전과 지속 가능 이용을 통한 해양생물다양성 가치 실현 이라는 비전 아래 해양생물 다양성 보전 및 증진 해양생물 다양성 위험요인 관리 해양생물 다양성 지속 가능한 이용 국제협력 및 인식증진 등 네 가지 전략을 담았다. 이외에도 국제협력 강화를 위해 생물다양성 협약, 람사르 협약 등 관련 국제협약을 충실히 이행하고, 도서국 대상 해양생물 다양성 역량 강화 공적 개발 원조(ODA) 사업도 추진할 계획이다."
38,239,리스크_장기,장기,리스크,0.2533,0.3233,0.182,1,1,1,1,1,2,0.2548,negative,0.5459,0.5922780632972717,에너지 관리,E,신재생에너지 전환,"현대자동차그룹이 미국 조지아주에 건설 중인 전기차 전용 공장을 재생에너지로 운영하기 위해 147메가와트( ) 규모 태양광 발전 전력구매계약을 체결했다고 22일 밝혔다. 현대차그룹은 스페인 재생에너지 개발업체 매트릭스 리뉴어블스 가 주도하는 태양광 발전 프로젝트와 15년(2025 2040년) 장기 전력구매계약(PPA)을 체결했다. 이는 국내 기업이 미국 사업장의 재생에너지 사용을 위해 체결한 PPA 중 최대 규모다. 향후 에너지 조달을 통해 기대되는 탄소 저감 효과는 연간 약 14만톤으로 추산되는데, 이는 준중형세단 8만4000여대가 1년간 배출하는 탄소를 흡수하는 것과 동일하다."
