idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
11,34,opportunity,0.1397,0.5766,0.1194,1,1,1,1,1,1,0.1194,neutral,0.8956,0.6437972187995911,에너지 관리,E,신재생에너지 전환,공공기관의 재생에너지 사용 확대를 위한 K-RE100 이 출범했다. 정부는 올해부터 경영평가 대상 88개 공공기관에 K-RE100 가입 및 이행실적 을 평가지표로 반영한다. 이에 따라 공공기관은 매년 재생에너지 사용 실적을 평가받게 된다. 기후부는 현재 평균 14% 수준인 공공기관 재생에너지 사용 비율을 2030년까지 60%로 높인다는 계획이다.
12,35,opportunity,0.1361,0.5058,0.1687,1,3,1,1,1,1,0.1205,neutral,0.9037,0.5597145557403564,에너지 관리,E,신재생에너지 전환,태양광 업계에 따르면 삼성물산은 최근 펀드를 조성해 전국 소규모 태양광 발전소를 매입하고 있다. 이는 분산된 태양광과 에너지저장장치(ESS) 자원을 묶어 판매하는 애그리게이터 사업 진출을 위한 조치다. 애그리게이터는 분산 에너지 자원을 포트폴리오화해 기업과 전력시장에 공급하는 사업자를 의미한다. 국내에서는 SK이터닉스와 브라이트에너지파트너스 등이 관련 사업을 영위하고 있다.
13,36,opportunity,0.1421,0.4934,0.2157,3,2,1,1,1,1,0.1198,neutral,0.8987,0.5489668250083923,에너지 관리,E,신재생에너지 전환,"한국전력은 3일 미국 괌에서 5억달러(약 7000억원) 규모의 태양광 에너지저장장치(ESS) 연계 재생에너지 사업 프로젝트파이낸스(PF) 계약을 체결했다고 밝혔다. 해당 사업은 괌 전력청이 발주했으며, 요나 지역에 태양광 132MW와 ESS 84MW 325MWh를 구축하는 프로젝트다. 모회사 상환보증 없이 현지 법인의 사업성과 장기 전력판매계약(PPA)을 기반으로 자금을 조달하는 구조다. 완공 시 연간 약 222GWh 전력 공급이 가능하다."
14,37,risk,0.1384,0.3461,0.1858,3,1,1,1,3,2,0.3019,neutral,0.8708,0.3974890410900116,에너지 관리,E,신재생에너지 전환,월스트리트저널은 2일(현지시각) 구글 모회사 알파벳이 풍력 태양광 발전업체 인터섹트를 47억5000만달러(약 6조9000억원)에 인수하기로 했다고 보도했다. 인수가 완료되면 구글은 미국 빅테크 기업 중 발전 자회사를 보유한 유일한 기업이 된다. 이번 인수는 인공지능(AI) 데이터센터에 공급할 전력을 직접 확보하기 위한 조치다. 월스트리트저널은 이를 통해 구글이 경쟁사 대비 차별화된 전력 조달 구조를 갖추게 된다고 분석했다.
15,38,opportunity,0.1229,0.394,0.1925,1,3,3,1,1,2,0.1348,neutral,0.722,0.5456619262695312,에너지 관리,E,신재생에너지 전환,글로벌 금융그룹 ING는 2일(현지시각) 에너지 전망 2026 보고서를 발표했다. 보고서는 2026년 태양광과 풍력 성장이 이어지겠지만 전력망 제약과 무역 보호주의 정책으로 설치 과정이 복잡해질 것이라고 분석했다. EU가 중국산 칩과 부품을 공급망에서 배제할 경우 비용 상승과 설치 지연이 발생할 수 있다는 진단이다. 재생에너지 전환이 단기적으로 부담 요인에 직면했다고 평가했다.
16,39,risk,0.1286,0.3893,0.1555,1,3,1,1,2,2,0.2221,neutral,0.833,0.4673038721084595,에너지 관리,E,신재생에너지 전환,전력업계에 따르면 미국 전력회사의 설비투자액은 2024년 1730억달러에서 지난해 2147억달러로 24.1% 증가했다. 2000억달러를 넘어선 것은 이번이 처음이다. 이는 인공지능(AI) 데이터센터와 태양광 등 신재생에너지 단지 확산에 따른 전력 수요 증가에 대응하기 위한 투자다. 미국 전력기기 시장이 확대 국면에 진입한 흐름으로 전해졌다.
17,40,opportunity,0.1635,0.5889,0.2453,3,2,2,1,1,1,0.1168,neutral,0.8761,0.6721985340118408,에너지 관리,E,신재생에너지 전환,아랍에미리트 국영 재생에너지 기업 마스다르는 우즈베키스탄에서 태양광과 에너지저장장치(ESS)를 결합한 최대 1GW 규모 재생에너지 프로젝트를 검토하고 있다. 마스다르는 22일 아부다비 지속가능성 주간(ADSW) 2026에서 우즈베키스탄 에너지부와 에미리트 유틸리티 개발회사(EUDC)와 협력 계약을 체결했다고 밝혔다. 이번 협력은 대규모 태양광 발전과 배터리를 결합해 연중무휴 전력을 공급하는 구조를 목표로 한다. 해당 프로젝트는 중앙아시아 지역에서 기저부하 재생에너지 모델을 구현하려는 시도로 소개됐다.
18,41,opportunity,0.1452,0.4974,0.1899,3,1,1,1,1,2,0.1661,neutral,0.89,0.5588579773902893,에너지 관리,E,신재생에너지 전환,"현대건설은 미국 태양광 개발 사업 루시(LUCY) 의 본공사에 착수했다고 28일 밝혔다. 현대건설은 27일 미국 텍사스주 댈러스에서 350MW 규모 태양광 발전 사업 착공식을 개최했다. 해당 프로젝트는 텍사스주 콘초 카운티 일대에 대규모 태양광 발전소를 건설 운영하는 사업이다. 현대건설, 한국중부발전, 한국해외인프라도시개발지원공사(KIND), EIP자산운용, PIS펀드 등이 참여한 팀 코리아 가 공동 추진하며, 현대건설은 개발 단계부터 지분 투자와 기술 검토, 태양광 모듈 공급을 담당한다."
19,42,opportunity,0.1363,0.5074,0.1683,1,3,1,1,1,1,0.1202,neutral,0.9016,0.5628066658973694,에너지 관리,E,신재생에너지 전환,"GS건설은 인도 마하라슈트라주에 위치한 파투르 태양광 발전단지 를 준공하고 상업운전에 돌입했다고 27일 밝혔다. 해당 발전단지는 총 12.75MWp 규모다. 연간 약 1800만 2000만kWh의 전력을 생산할 수 있다. GS건설은 개발사업자로 참여해 시공과 운영을 맡으며, 생산 전력 중 약 69%에 해당하는 13.9GWh를 일진글로벌 인디아에 25년간 공급할 예정이다."
20,43,opportunity,0.1614,0.5257,0.2352,1,1,3,3,2,1,0.1882,neutral,0.882,0.5960132479667664,에너지 관리,E,신재생에너지 전환,"인도 정부가 희토류 영구자석 제조 생태계 구축을 위한 보조금 계획을 확정했다. 블룸버그 통신에 따르면, 총 지원 규모는 730억 루피로 집계됐다. 전기차와 신재생에너지 산업에 필수적인 자석을 직접 생산해 중국 의존도 90%에서 벗어나는 것이 목표다. 인도 정부는 7년 내 연간 6000톤 규모의 생산 능력을 확보할 계획이며, 베단타와 JSW 그룹, 소나BLW 등이 참여 의사를 밝혔다."
21,44,opportunity,0.1052,0.4063,0.1049,1,1,1,1,1,1,0.1049,neutral,0.7866,0.5164926052093506,에너지 관리,E,신재생에너지 전환,"클라이밋 그룹과 탄소공개정보프로젝트(CDP) 위원회가 20일 발간한 RE100 2024 연례보고서 에 따르면, 한국에서 재생에너지 조달에 어려움을 겪은 기업은 70곳으로 조사됐다. 이는 미국(20곳)의 3.5배 수준이다. 2022년 대비 약 80% 증가했다. 응답 기업의 51.4%는 높은 비용을 주요 애로사항으로 꼽았다."
22,45,risk,0.1535,0.6122,0.1205,1,1,1,1,1,2,0.1687,neutral,0.9035,0.6776284575462341,에너지 관리,E,신재생에너지 전환,"탑솔라가 현대건설과 국내 최대 규모의 재생에너지 전력 공급 협약을 체결했다. 탑솔라는 19일 현대건설과 재생에너지 전력공급계약(PPA) 체결을 위한 협약을 맺었다고 밝혔다. 합의된 전력 공급량은 총 1.5GW로, 대형 원전 1기 발전용량에 해당한다. 이는 국내 단일 기업 간 직접 전력 거래 가운데 최대 규모다. 공급되는 전력은 현대건설을 통해 RE100 이행을 추진하는 국내 주요 기업들에 전달될 예정이다."
23,46,risk,0.1683,0.4992,0.1933,3,1,1,1,3,2,0.3141,neutral,0.906,0.5509727597236633,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,"기후에너지환경부가 올해 녹색정책금융 활성화 사업을 통해 기업 대출 이자 지원 규모를 3조원으로 확대한다. 기후부는 18일 신규 대출에 대한 이차보전 규모를 지난해 1조5500억원 대비 약 2배 수준으로 늘려 추진한다고 밝혔다. 지원 대상은 온실가스 감축 목적의 기업 투자 대출이다. 중소 중견기업의 접근성을 높이기 위해 100억원 이하 대출의 감축계획 외부검증 절차를 간소화하고, 금융회사의 녹색여신 검증으로 대체해 비용과 행정 부담을 줄일 방침이다."
24,47,opportunity,0.1524,0.498,0.2056,2,1,3,1,1,3,0.1948,neutral,0.8116,0.6136358380317688,이사회 구조,G,이사회 구성 및 독립성,"유럽연합(EU)이 2026년부터 기업 경영진에 직접 법적 책임을 묻는 강력한 정보기술 보안 규제를 시행한다. 네트워크 정보 시스템 지침(NIS2)과 금융 부문 디지털운영탄력성법(DORA)이 핵심으로, 침해 사고 발생 시 경영진이 충분한 주의를 기울였음을 입증하도록 요구한다. 규정을 위반할 경우 기업은 최대 1000만 유로 또는 전 세계 연간 매출액의 상당 부분에 해당하는 벌금을 부과받을 수 있다. 적절한 거버넌스 체계를 갖추지 못한 상태에서 사고가 발생하면 이사회 구성원이 개인적으로 법적 책임을 질 수 있을 것으로 전망된다."
25,48,opportunity,0.0976,0.3361,0.1552,3,3,1,1,1,1,0.0776,neutral,0.5819,0.5775976181030273,기후변화·온실가스,E,Scope 1·2 배출량,국내 상장사의 지속가능경영보고서 공시는 증가했지만 기후 리스크의 정량적 재무 영향 공시는 여전히 부족한 것으로 나타났다. 한국거래소는 지난해 유가증권시장 상장사 225곳이 지속가능경영보고서를 공시했다고 밝혔다. 기후 시나리오 분석을 수행한 기업은 85곳으로 늘었으나 전체 대비 비중은 38%에 그쳤다. 온실가스 배출 공시에서 Scope 1 2는 대부분 공개했지만 연결기준으로 공시한 기업은 3곳에 불과했다.
26,49,opportunity,0.1239,0.5034,0.11,1,1,1,1,1,1,0.11,neutral,0.8249,0.6103148460388184,에너지 관리,E,신재생에너지 전환,"중국 밍양 스마트에너지그룹이 독자 개발한 30메가와트(MW)급 순수 수소 가스터빈 목성 1호 가 발전에 성공했다. 이는 풍력 태양광 발전과 전기분해 기반 수소 생산을 결합한 실증 프로젝트가 실제 운영 단계에 들어섰다는 의미다. 해당 프로젝트는 재생에너지로 수소를 생산하고, 그 수소로 다시 전력을 생산하는 구조다. 중국은 이를 통해 전기와 수소를 연계한 에너지 전환 모델을 구축하고 있다."
27,50,opportunity,0.1583,0.5907,0.169,1,3,1,1,1,2,0.169,neutral,0.9056,0.6523222327232361,에너지 관리,E,신재생에너지 전환,정부가 신재생에너지공급의무화 제도를 폐지하고 재생에너지 입찰제도로 전환하는 방안을 추진 중이다. 이에 따라 태양광 현물시장 물량이 RE100 이행용 전력으로 거래될 수 있는 구조가 마련된다. 업계는 약 7GW 규모의 태양광 물량이 대상이 될 수 있다고 보고 있다. 실제 물량 이동 규모는 입찰 단가와 PPA 가격에 따라 결정될 것으로 전해졌다.
28,51,opportunity,0.1397,0.5124,0.1861,3,1,1,1,1,1,0.1163,neutral,0.8725,0.5873287916183472,에너지 관리,E,신재생에너지 전환,넥스트에라 에너지가 구글과 메타 등 빅테크 기업과 대규모 전력구매계약(PPA)을 체결했다. 회사는 재생에너지뿐 아니라 천연가스와 원자력 발전까지 포함하는 공급 체계를 구축하고 있다. 동시에 가스 소매업체 인수와 신규 가스 발전소 개발에도 나섰다. AI 확산으로 증가하는 전력 수요에 대응하기 위한 전략으로 풀이된다.
29,52,risk,0.1454,0.5674,0.1197,1,1,1,1,1,2,0.1676,neutral,0.8981,0.6317884922027588,에너지 관리,E,신재생에너지 전환,정부가 2030년까지 육상풍력을 6GW 규모로 보급하고 발전단가를 1kWh당 150원으로 낮추는 목표를 제시했다. 기후에너지환경부는 육상풍력 보급 가속 전담반 첫 회의를 열어 입찰 확대와 민간 직접 PPA 활성화 방안을 논의했다. 정부는 2035년까지 육상풍력을 12GW로 늘리고 내년 상반기 중 입찰 로드맵을 발표할 계획이다. 또한 국내에서 터빈 300기 이상을 공급해 산업 경쟁력을 강화하겠다고 밝혔다.
30,53,risk,0.155,0.505,0.1838,3,1,1,1,2,2,0.2297,neutral,0.8614,0.5862461924552917,에너지 관리,E,신재생에너지 전환,LS일렉트릭이 미국 대형 민간 전력 유틸리티(IOU)와 4598억원 규모의 초고압 변압기 공급 계약을 체결했다고 26일 밝혔다. 계약 규모는 회사가 체결한 단일 초고압 변압기 계약 중 역대 최대다. LS일렉트릭은 2027 2029년 미국 동남부 데이터센터 전력을 공급할 신재생에너지 발전소에 525kV급 변압기를 납품하며 기존 115kV 354kV 중심 공급 범위를 확대한다.
31,54,opportunity,0.16,0.6343,0.1824,3,1,1,1,1,1,0.114,neutral,0.855,0.7419259548187256,에너지 관리,E,신재생에너지 전환,"SK이터닉스(SK eternix)가 100MW 규모 태양광 전력 공급을 위한 직접전력거래계약(Power Purchase Agreement, PPA)을 25일 체결했다고 밝혔다. 회사는 향후 25년간 총 5023억원 규모의 태양광 전력을 RE100 이행 기업에 공급할 계획이다. 이번 계약은 지난해 11월과 올해 6월에 이어 세 번째 대규모 직접 PPA 성과다."
32,55,risk,0.1484,0.59,0.1171,1,1,1,1,1,2,0.164,neutral,0.8785,0.6715924143791199,에너지 관리,E,신재생에너지 전환,쿠웨이트 민간협력청이 샤가야 재생에너지 단지 내 500MW(메가와트) 규모의 태양광 발전소 2곳의 개발 입찰을 본격화했다. 10월 사전 자격 심사를 통과한 주요 사업자에게 입찰 제안서 제출이 요청됐으며 한국서부발전도 포함됐다. 사업자는 EPC와 함께 소유 운영 유지보수 등을 맡게 된다. 운영권은 30년간 보장된다.
33,56,opportunity,0.1614,0.6328,0.1885,3,1,1,1,1,1,0.1178,neutral,0.8836,0.7162118554115295,기후변화·온실가스,E,Scope 1·2 배출량,"과학기반감축목표 이니셔티브(SBTi)가 기업의 넷제로 검증 체계를 전면 개편한 기업 넷제로 표준 V2 초안을 공개했다. 새 기준은 업종과 규모별로 다양한 감축 경로를 선택할 수 있도록 유연성을 확대했다. 직접배출(Scope 1)은 선형 감축, 저탄소 활동 확대, 자산 탈탄소화 계획 등 세 가지 접근을 병행할 수 있게 했다. 간접배출(Scope 2)과 가치사슬 배출(Scope 3)은 기업 유형에 따라 단기 장기 목표 설정 방식과 지표 선택 방식을 조정했다."
34,57,opportunity,0.1614,0.6328,0.1885,3,1,1,1,1,1,0.1178,neutral,0.8836,0.7162118554115295,기후변화·온실가스,E,Scope 3 배출량,"과학기반감축목표 이니셔티브(SBTi)가 기업의 넷제로 검증 체계를 전면 개편한 기업 넷제로 표준 V2 초안을 공개했다. 새 기준은 업종과 규모별로 다양한 감축 경로를 선택할 수 있도록 유연성을 확대했다. 직접배출(Scope 1)은 선형 감축, 저탄소 활동 확대, 자산 탈탄소화 계획 등 세 가지 접근을 병행할 수 있게 했다. 간접배출(Scope 2)과 가치사슬 배출(Scope 3)은 기업 유형에 따라 단기 장기 목표 설정 방식과 지표 선택 방식을 조정했다."
35,58,risk,0.1545,0.4553,0.1785,3,1,1,1,3,2,0.2901,neutral,0.8368,0.5440930724143982,인적자원 관리,S,다양성 및 형평성 (DEI),"한국거래소는 2024년 사업연도 기준 기업지배구조 보고서를 공시한 기업이 총 549개로 집계됐다고 밝혔다. 자산총액 5000억원 이상 의무공시 기업은 541개였으며 핵심지표 준수율은 전반적으로 높아졌다. 다만 자산 2조원 이상 기업의 준수율은 67.1%였고 자산 5000억원 이상 기업은 38.6%로 격차가 나타났다. 내부감사기구 외부감사인 소통, 이사회 내 성별 다양성, 배당 정책 통지 등 항목에서 차이가 두드러졌다."
36,59,risk,0.1337,0.5036,0.1184,1,1,1,1,1,2,0.1658,neutral,0.888,0.5671634674072266,에너지 관리,E,신재생에너지 전환,"메타가 엔지 북미법인과 600MW 규모의 전력구매계약(PPA)을 체결하고, 트리티오크 클린에너지와 385MW 계약을 추가로 맺었다. 두 계약은 총 1GW 규모로, 미국 텍사스주와 루이지애나주에서 2027년 이후 전력을 공급받게 된다. 이는 AI 데이터센터 전력 수요 급증에 대응하기 위한 조치다. 메타는 100% 재생에너지 전력 사용 원칙을 유지하며 이번 계약을 추진했다."
37,60,opportunity,0.1429,0.4768,0.2379,3,3,1,1,1,1,0.1189,neutral,0.8921,0.5345163941383362,기후변화·온실가스,E,Scope 1·2 배출량,"캐나다 스타트업 큐라가 고온 가열(킬른) 대신 전기화학 분해 방식을 적용한 시멘트 생산 기술을 공개했다. 이 공정은 생산 과정의 이산화탄소 배출을 최대 85% 줄일 수 있다. 전력 사용량은 늘지만, 재생에너지 기반 전력을 활용하면 전체 탄소배출을 크게 낮출 수 있다."
38,61,risk,0.1608,0.6516,0.1216,1,1,1,1,1,2,0.1703,neutral,0.9122,0.7143718004226685,에너지 관리,E,신재생에너지 전환,"기후에너지환경부가 바이오가스 공급인증제 도입을 위한 제도 설계에 착수했다. 이번 제도는 신재생에너지 공급인증서(REC) 제도를 참고해, 생산자가 인증서를 거래하거나 발전소 도시가스망에 바이오가스를 공급할 수 있도록 하는 방식이다. 정부는 내년 중 제도안을 마련하고, 2027년 시행을 목표로 관련 법령 개정을 추진한다."
39,62,opportunity,0.1559,0.5508,0.2381,3,3,1,1,1,1,0.1191,neutral,0.8929,0.6168925762176514,에너지 관리,E,신재생에너지 전환,"머크 라이프사이언스가 SK이노베이션 E S와 20년 장기 전력구매계약(PPA)을 체결했다. 이는 머크가 아시아태평양 지역에서 체결한 최장기 재생에너지 계약으로, 16MW 규모의 재생에너지를 공급받는다. 대전과 송도 생산시설에 매년 2만1000MWh가량의 전력이 공급돼 한국 사업장 전체 전력 수요의 약 75%를 충당할 수 있다. 계약은 2027년 12월부터 본격 시행된다."
40,63,opportunity,0.1147,0.386,0.1754,3,1,1,1,1,1,0.1096,neutral,0.822,0.4695734977722168,에너지 관리,E,신재생에너지 전환,"삼성물산 상사부문 일본 법인이 현지 신재생에너지 기업 이렉스와 손잡고 에너지저장장치(ESS) 사업을 확대한다. 양사는 50대50 출자 비율로 합작법인을 설립하고, 일본 전역에 대규모 ESS 인프라를 구축할 계획이다. 첫 프로젝트는 미야자키현 구시마시에서 진행 중인 2000 규모 ESS 사업이며, 이후 20 이상 대형 프로젝트로 확대할 예정이다. 삼성물산은 양산 기술 개발과 설비 구축을 담당한다."
41,64,risk,0.1419,0.4778,0.1153,1,1,1,1,3,1,0.2536,neutral,0.8647,0.5525931715965271,에너지 관리,E,신재생에너지 전환,"인도 정부가 2070년 탄소중립과 빈곤 탈피라는 두 목표를 동시에 달성하기 위한 국가 청사진을 공개했다. 초안에 따르면 향후 45년간 최대 21조달러(약 2경9841조원)가 투입돼, 산업 주거 인프라 저탄소 전환과 신재생에너지 확대, 원전 건설, 탄소포집기술 개발에 사용된다. 이는 인도 누적 GDP의 연평균 5 7%에 해당하는 규모다. 블룸버그통신은 이번 계획이 기후목표와 경제성장을 병행하기 위한 첫 국가 단위 자금 산출 사례라고 전했다."
42,65,opportunity,0.1343,0.46,0.2081,3,2,1,1,1,1,0.1156,neutral,0.867,0.5306024551391602,에너지 관리,E,신재생에너지 전환,"SK그룹이 베트남 칸호아성에 대규모 에너지 물류 복합 단지 투자를 제안했다. 베트남 현지 언론에 따르면 SK는 베트남 정부에 3개 핵심 사업을 포함한 녹색성장 프로젝트를 제시했다. 주요 사업은 카나와 반퐁 지역에 최대 3000MW 규모의 LNG 발전소 건설, 카나 지역 물류 인프라 확충, 신재생에너지 기술 연구개발이다. 이번 제안은 SK의 동남아 친환경 에너지 포트폴리오 확장 전략의 일환으로 평가된다."
43,66,opportunity,0.1375,0.5042,0.1872,1,3,2,1,1,1,0.1101,neutral,0.826,0.6103734374046326,에너지 관리,E,신재생에너지 전환,"정부가 30년 이상 된 액화천연가스(LNG) 화력발전소를 신설할 때 기존 설비의 절반 용량만 허용하는 방안을 검토 중이다. 김성환 기후에너지환경부 장관이 탈원전 시즌2 를 예고한 가운데, 탈가스 전환까지 병행될 경우 전력 수급 불안정과 요금 상승이 우려된다는 지적이 나온다. 발전 공기업 다섯 곳은 해당 방안에 대한 정부 요청을 받고 의견 수렴에 착수했다. 발전업계는 이번 조치를 재생에너지 전환 속도를 높이기 위한 정부의 구조적 개편으로 보고 있다."
44,67,opportunity,0.0481,0.1945,0.0432,1,1,1,1,1,1,0.0432,neutral,0.3239,0.6004117727279663,에너지 관리,E,신재생에너지 전환,"국내 기업이 사용하는 재생에너지의 85%가 실질적인 온실가스 감축 효과가 없는 것으로 나타났다. 국회 기후에너지환경노동위원회 이용우 의원에 따르면, K-RE100 참여기업 967곳이 사용한 38TWh 중 33TWh가 녹색프리미엄 방식으로, 감축 효과 없이 금전으로 친환경 인증을 대체한 구조다. 제도는 기업의 재생에너지 전환을 유도하기 위해 도입됐으나 실질적 전환을 저해한다는 비판이 제기됐다. 전문가들은 실질 감축을 위한 추가성 기준 강화와 제도 개편이 필요하다고 지적했다."
