idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text
22,opportunity,0.4719,0.4837,0.4541,3,3,1,1,positive,0.6812,0.7100139260292053,기후변화·온실가스,E,Scope 1·2 배출량,"카카오는 에너지 벤처기업인 식스티헤르츠를 통해 전국시민발전협동조합연합회 소속 시민조합이 생산한 재생 에너지에 대한 공급 인증서(REC)를 구매해 RE100을 달성했다고 설명했다. 연합회는 국내 최대 규모의 에너지 협동조합 연합 단체로, 회원들은 약 240개의 태양광 발전소를 운영하며 재생 에너지를 생산하고 있다. 카카오는 이번 RE100 달성을 시작으로 2030년까지 친환경 에너지 사용 비중을 전체 전력 사용량 대비 60%, 2040년까지 100%로 확대해나갈 방침이다."
23,opportunity,0.5096,0.5924,0.3853,1,2,1,1,positive,0.9633,0.6149843335151672,에너지 관리,E,신재생에너지 전환,(3) 마지막으로 탄소 배출량이 적은 지역에서 재생에너지 장기공급계약(PPA)을 한 사업자가 생산한 수소다. 탄소 배출량이 적은 지역은 원전 발전 비중이 높은 지역도 포함된다.
24,context,0.2893,0.3896,0.1388,1,2,1,1,neutral,0.8676,0.4490797221660614,기후변화·온실가스,E,Scope 1·2 배출량,(2) 다음은 재생에너지 전력 사용량이 지난해 평균 90%를 넘는 지역으로부터 전력을 공급받아 생산한 수소다.
25,opportunity,0.6107,0.729,0.4333,1,1,2,1,positive,0.9999,0.7290977239608765,에너지 관리,E,신재생에너지 전환,이와 함께 한국동서발전과 샤넬코리아는 태양광발전소 가상 전력 구매계약(Virtual-PPA) 을 체결한다. 샤넬코리아는 이번 계약으로 약 2메가와트(MW) 규모의 재생에너지를 20년간 안정적으로 확보할 수 있을 전망이다.
26,opportunity,0.4749,0.5699,0.3323,1,1,1,1,positive,0.997,0.5716385841369629,에너지 관리,E,신재생에너지 전환,한화솔루션이 미국 마이크로소프트(MS)와 친환경 에너지 확산 탄소배출 저감을 위한 전략적 파트너십 협약을 체결했다고 30일 밝혔다. 양사는 이번 협약에 따라 향후 공동으로 태양광 발전 프로젝트를 진행할 계획이다.
27,context,0.4266,0.4799,0.3466,3,3,3,1,neutral,0.9998,0.47996091842651367,에너지 관리,E,신재생에너지 전환,"확정안에 따르면 2030년 전체 발전량 중 원자력발전은 201.7테라와트로 가장 큰 비중(32.4%)을 차지하고 다음은 142.4테라와트의 액화천연가스(LNG) 발전(22.9%), 134.1테라와트의 신재생에너지 발전(21.6%) 순이다. 석탄 발전은 122.5테라와트(19.7%)로 낮아진다."
28,risk,0.4364,0.3776,0.5245,3,1,1,1,negative,0.9835,0.3839462697505951,에너지 관리,E,신재생에너지 전환,"신재생에너지 부문은 지난해 1분기까지 6분기 연속 영업손실을 기록했지만, 2분기부터 소폭 흑자 전환에 성공한 데 이어 3분기에는 큰 폭의 영업이익을 냈다. 한화솔루션은 지난해 4분기에도 양호한 실적을 거둬 영업이익이 3230억원에 달할 것으로 증권가는 추정한다."
29,context,0.3399,0.4777,0.1332,1,1,1,1,neutral,0.9988,0.47827330231666565,에너지 관리,E,신재생에너지 전환,"한편, 영국의 에너지 싱크탱크 엠버에 따르면 2021년 세계의 평균 재생에너지 발전 비중은 10.3%인 가운데 한국은 4.7%에 불과했다. 한국은 2030년까지 발전 비중을 원자력 32.4%, 액화천연가스(LNG) 22.9%, 신재생에너지 21.6%, 석탄 19.7% 로 가져간다는 목표다."
30,opportunity,0.4696,0.4279,0.5322,1,1,3,1,positive,0.9978,0.42888498306274414,에너지 관리,E,에너지 소비 및 효율화,"현대로템은 승차 편의성과 에너지 절감을 중시하는 세계적 추세에 맞춰 지난해부터 영속도 회생제동 기술개발을 진행했으며 독일과 일본에 이어 이 기술을 상용화했다. 기존 전동차는 정차 때 저속에서 정확한 회생제동 제어가 어려워 제동패드를 압착시켜 정차시키는 공기제동을 사용해 왔다. 공기제동은 정차 때 마찰 소음이 발생하고, 감속도가 일정치 않아 정위치에 정차하지 못하는 경우가 있으며 제동패드가 마모되면서 터널 내 미세먼지가 발생하는 단점이 있다."
31,context,0.3851,0.5303,0.1673,1,1,2,1,neutral,0.965,0.5495502948760986,에너지 관리,E,신재생에너지 전환,유렉티브는 EU 집행위의 새로운 규정으로 이런 위험성에서 벗어날 수 있게 됐다며 저탄소 전력을 사용하는 나라에서 수소를 생산할 때 PPA 계약만 체결하면 재생에너지 발전 시설을 새로 구축하지 않아도 재생에너지 수소로 인정받을 수 있는 길이 열렸다고 보도했다.
32,opportunity,0.3629,0.3426,0.3933,1,1,2,1,positive,0.9076,0.3774997293949127,에너지 관리,E,신재생에너지 전환,EIA는 올해 미국에서 54.5기가와트 규모의 발전 설비가 신설되고 이중 54%인 29.1기가와트 규모의 태양광 발전 설비가 새로 구축될 것으로 전망했다.
33,context,0.3584,0.4818,0.1733,1,1,2,1,neutral,0.9998,0.48194417357444763,에너지 관리,E,신재생에너지 전환,"기업이 재생에너지 100% 사용을 선언하는 것과 RE100에 가입하는 것은 이처럼 확연한 차이가 있다. LG 계열사들의 RE100 가입 가능성이 커 보이지만, LG 관계자는 이에 대한 언급은 피했다. 그는 계열사별로 사정이 달라 RE100 가입 여부나 시기에 대해 언급하기 어렵다 고 조심스레 말했다."
34,opportunity,0.4719,0.4837,0.4541,3,3,1,1,positive,0.6812,0.7100139260292053,에너지 관리,E,신재생에너지 전환,"카카오는 에너지 벤처기업인 식스티헤르츠를 통해 전국시민발전협동조합연합회 소속 시민조합이 생산한 재생 에너지에 대한 공급 인증서(REC)를 구매해 RE100을 달성했다고 설명했다. 연합회는 국내 최대 규모의 에너지 협동조합 연합 단체로, 회원들은 약 240개의 태양광 발전소를 운영하며 재생 에너지를 생산하고 있다. 카카오는 이번 RE100 달성을 시작으로 2030년까지 친환경 에너지 사용 비중을 전체 전력 사용량 대비 60%, 2040년까지 100%로 확대해나갈 방침이다."
35,opportunity,0.5007,0.6124,0.3332,1,1,1,1,positive,0.9997,0.6125576496124268,에너지 관리,E,신재생에너지 전환,이로써 한화솔루션은 MS가 2030년 탄소 중립 조기 달성을 목표로 추진 중인 에너지 전환 사업에 태양광 발전 모듈을 공급하는 것은 물론이고 발전소 설계 시공까지 맡게 됐다.
36,context,0.4267,0.6225,0.133,1,1,1,1,neutral,0.9977,0.6239362359046936,에너지 관리,E,에너지 소비 및 효율화,"롯데그룹 역시 계열사에 사무실 내 불필요한 전등을 끄고, 회의나 점심시간 등 부재 시에는 소등 여부를 확인하도록 했다. HD현대중공업은 최근 9주간 소셜미디어(SNS)를 통해 에너지 절감 챌린지 이봐 OO로 아껴봤어 를 진행했다. 매주 1개씩 에너지 절감 방안을 소개하면 이를 실천한 임직원이 인증샷을 본인의 SNS에 게재하는 식으로, 총 600건의 참여가 이뤄졌다."
37,context,0.4027,0.5823,0.1333,1,1,1,1,neutral,0.9999,0.5823556780815125,기후변화·온실가스,E,Scope 1·2 배출량,에너지 다이어트 는 ESG(환경 사회 지배구조) 경영의 실천이면서 동시에 여름철 전력 사용량 폭증에 대비한 비용절감 효과가 있다는 계산이다.
38,context,0.3867,0.5556,0.1333,1,1,1,1,neutral,0.9996,0.555803656578064,에너지 관리,E,에너지 소비 및 효율화,"지상 55층, 지하 2층의 빌딩인 트레이드 타워와 코엑스 컨벤션센터 등 6개 건물로 이뤄진 서울 무역센터도 냉난방 1도 운동 등으로 에너지 절감에 나섰다. 여름철 냉방은 1도 높이고 겨울철 난방은 1도 낮추는 게 핵심이다. 현대제철은 조업 개선과 설비 교체를 통해 국내총생산(GDP) 대비 에너지 소비량을 보여주는 에너지 원단위( TOE 1천달러)를 1% 개선하는 것을 목표로 하고 있다."
39,context,0.2124,0.3037,0.0754,1,1,1,1,neutral,0.5658,0.536819577217102,기후변화·온실가스,E,Scope 1·2 배출량,삼성전자가 내놓은 2023년형 비스포크 가전은 핵심 부품 고효율화로 에너지 효율을 대폭 높이고 고도화된 인공지능(AI) 기능으로 사용 편의성이 강화된 것이 특징이다. 스마트싱스 기반의 에너지 관리 솔루션인 스마트싱스 에너지를 활용해 비스포크 가전을 관리하면 전력 사용량을 최대 70%까지 추가 절감할 수 있다.
40,opportunity,0.625,0.6012,0.6607,1,3,3,1,positive,0.9911,0.6066414713859558,에너지 관리,E,에너지 소비 및 효율화,한국지역난방공사(한난)는 에너지 효율혁신을 위한 에너지효율 개선 사업 강화 등을 핵심으로 하는 2023년 연간 사회공헌 사업계획 을 확정해 활동에 나선다고 30일 밝혔다.
41,context,0.4381,0.6235,0.16,1,2,1,1,neutral,0.9999,0.6235657334327698,에너지 관리,E,신재생에너지 전환,"부산시, 부산지방기상청, 부산연구원, APEC기후센터 등이 참여하는 부산기후변화협의체는 기후위기 시대, 기후산업의 대응을 주제로 세마나를 열었다. 부산지역 RE100(재생에너지 100%) 협의체 발대식과 기업 간담회도 마련됐다."
42,context,0.2808,0.3792,0.1332,1,1,1,1,neutral,0.9989,0.37961047887802124,에너지 관리,E,에너지 소비 및 효율화,"신세계백화점은 에너지 절감을 위해 기존에 개점 20분 전부터 켰던 백화점 내 일반 조명을 10분 전부터 켜고, 폐점 때는 10분 더 일찍 끄고 있다. 백화점 후방 시설의 일반 조명 기기는 LED 조명으로 교체하고, 승강기 회생 제동 장치도 설치할 계획이다."
43,context,0.3814,0.5469,0.1332,1,1,1,1,neutral,0.9989,0.5475237369537354,에너지 관리,E,신재생에너지 전환,지난해 신축된 부산수학문화관은 옥상에 건물 일체형 태양광 발전시설이 설치됐다. 고효율 열펌프와 고성능 단열시공이 돼 있어 에너지자립률이 43%에 달한다. 그 결과 정부의 제로에너지 건축물 4등급 인증을 받았다.
44,context,0.3751,0.541,0.1263,1,1,1,1,neutral,0.9469,0.5713668465614319,에너지 관리,E,신재생에너지 전환,모디 총리는 2031 2032년까지 연간 365기가와트의 태양광 발전능력을 달성하고 전기차와 지속가능한 항공유 보급을 확대한다는 야심찬 청정에너지 공급 계획을 세웠다. 인도의 현재 태양광 발전능력은 32기가와트에 불과하다. 목표 달성을 위해 분발이 필요한데 현재 적정 수요로 추정되는 52기가와트에도 미치지 못하는 수준이다.
45,context,0.3547,0.5047,0.1297,1,1,1,1,neutral,0.9731,0.5186254978179932,에너지 관리,E,신재생에너지 전환,"카카오, RE100 가입 2040년까지 재생에너지 100% 전환"
46,context,0.3039,0.4176,0.1333,1,1,1,1,neutral,0.9999,0.4176628887653351,기후변화·온실가스,E,Scope 1·2 배출량,신선도 확인이나 고객 편의를 이유로 개방형 냉장고를 쓰면 에너지 낭비를 초래하고 냉장식품 보관 적정 온도(섭씨 10도 이하)보다 높아지는 경우가 있어서다. 서울시에 따르면 롯데마트와 한국전력공사가 냉장고 문을 만드는 시범사업을 벌인 결과 1대당 전력 사용량이 평균 50 이상 절감됐다. 문을 달고 나니 온도도 안정적으로 10도 이하를 유지해 신선상품 폐기율이 종전보다 3 넘게 줄었다.
47,context,0.4075,0.5903,0.1333,1,1,1,1,neutral,0.9998,0.5904428362846375,에너지 관리,E,신재생에너지 전환,"CF100에 대한 정부의 지원방안에 대해서는 세제 혜택 등 재정적 인센티브 제공(38.2%) , 실시간 모니터링을 위한 계측설비 등 관련 인프라 구축(26.5%) , 무탄소에너지 전용 전력구매계약(PPA) 등 제도 마련(20.6%) 에 높은 응답률을 보였다. 이 밖에도 무탄소에너지 관련 혁신기업 육성(8.8%), 전략판매시장 규제 완화(5.9%) 등을 제시했다."
48,context,0.3178,0.4314,0.1474,2,1,1,1,neutral,0.8502,0.5073676109313965,에너지 관리,E,신재생에너지 전환,"1 5월 중 풍력과 태양광 발전량은 2019년 대비 1억200만MWh(68%) 증가했으나, 석탄 발전량은 1억3200만MWh(35%) 감소했다. 올해 1 5월 중 석탄 발전량 2억4940만MWh는 수십 년 래 최저 수준이다."
49,context,0.3289,0.4456,0.1539,1,1,2,1,neutral,0.8876,0.5020100474357605,에너지 관리,E,신재생에너지 전환,"특히 태양광 발전 예상 투자 규모는 3,800억 달러(503조원)로, 사상 처음으로 석유 생산 투자비 3,700억 달러(490조원)를 추월할 것으로 전망됐다."
50,context,0.3069,0.4226,0.1333,1,1,1,1,neutral,0.9996,0.4227588176727295,에너지 관리,E,에너지 소비 및 효율화,서울시는 이에 따라 7일 서울시청 서소문2청사 대회의실에서 식품의약품안전처 한국전력공사 한국체인스토어협회와 함께 에너지 절감과 냉장식품 안전을 위한 냉장고 문 달기 사업 업무협약을 체결한다. 여기에는 롯데마트와 이마트 이마트에브리데이 GS더프레시 홈플러스 등 대형 유통업체도 함께한다.
51,opportunity,0.5966,0.7732,0.3317,1,1,1,1,positive,0.9951,0.7770216464996338,에너지 관리,E,신재생에너지 전환,"LG전자는 RE100 달성을 위해 2030년 60%, 2040년 90%, 2050년 100% 순으로 재생에너지 전환 비율을 확대할 계획이라고 5일 밝혔다. 구체적 방안은 사업장에 설치된 고효율 태양광 패널을 활용한 재생에너지 발전 사용 확대 재생에너지 공급인증서(REC) 구매 재생에너지 전력구매계약(PPA) 한국전력 녹색프리미엄 참여 등이다."
52,opportunity,0.5533,0.5678,0.5315,3,1,1,1,positive,0.9966,0.5697808861732483,에너지 관리,E,신재생에너지 전환,이 회사는국내 발전사업자 GS EPS와 협업해 경남 창원 LG스마트파크 통합생산동 옥상에 축구장 3개 크기로 직접 PPA 방식 태양광 발전소를 구축하고 있다. 2025년 최종 완공 목표다. 이 중 일부는 지난해 12월 준공해 운영에 들어갔다.
53,risk,0.4181,0.4251,0.4077,1,1,2,1,negative,0.9409,0.45178115367889404,에너지 관리,E,신재생에너지 전환,인도산 모듈 공급은 부족한데 수입산 모듈에 고율의 관세가 부과됨에 따라 태양광 발전 사업을 속도감 있게 추진하기 어렵다는 지적이 나온다. 인도 정부 관계자는 관세 인하 필요성을 강조하면서 앞으로 2년간 인도는 연간 8 10기가와트 규모의 태양광 모듈을 수입할 전망 이라고 말했다.
54,opportunity,0.4527,0.533,0.3322,1,1,1,1,positive,0.9966,0.5347930788993835,에너지 관리,E,신재생에너지 전환,"태양광 밸류체인은 폴리실리콘, 웨이퍼, 셀, 모듈로 이루어진다. 시장의 75% 이상을 중국이 차지하고 있다. 특히 웨이퍼의 경우 중국이 전 세계 생산의 95%를 맡고 있다. 이 시장에선 융기실리콘과 TCL 증환신능원(TCL Zhonghuan Renewable Energy Technology)이 선도업체로 경쟁한다. 융기실리콘은 폴리실리콘을 제외한 웨이퍼, 셀, 모듈을 생산한다."
55,context,0.2727,0.3327,0.1827,3,3,3,1,neutral,0.5269,0.6314066648483276,기후변화·온실가스,E,Scope 1·2 배출량,"카카오는 앞서 지난해 제주 오피스를 운영하는 과정에서 사용되는 전력의 100%를 친환경 태양광 에너지로 전환했다. 카카오는 재생에너지에 대한 사회적 관심과 인식을 높이기 위해 전국 각지의 시민조합에서 직접 생산된 재생에너지 공급인증서(REC)를 구매했다. 이번 RE100 가입을 기점으로 카카오는 신규 데이터센터(IDC)와 사옥 등 사업 운영 과정에서 발생하는 전체 전력 사용량을 오는 2030년까지 60%, 2040년까지 100% 재생에너지로 전환할 계획이다. ."
56,context,0.2727,0.3327,0.1827,3,3,3,1,neutral,0.5269,0.6314066648483276,에너지 관리,E,신재생에너지 전환,"카카오는 앞서 지난해 제주 오피스를 운영하는 과정에서 사용되는 전력의 100%를 친환경 태양광 에너지로 전환했다. 카카오는 재생에너지에 대한 사회적 관심과 인식을 높이기 위해 전국 각지의 시민조합에서 직접 생산된 재생에너지 공급인증서(REC)를 구매했다. 이번 RE100 가입을 기점으로 카카오는 신규 데이터센터(IDC)와 사옥 등 사업 운영 과정에서 발생하는 전체 전력 사용량을 오는 2030년까지 60%, 2040년까지 100% 재생에너지로 전환할 계획이다. ."
57,opportunity,0.449,0.3147,0.6505,3,3,1,1,positive,0.9758,0.3225400447845459,에너지 관리,E,신재생에너지 전환,태양광 발전 시설의 핵심 부품인 태양광 셀은 전체 발전 시설 투자 비용의 30% 정도를 차지한다. 가령 중국산 태양광 셀을 100% 사용해도 다른 부품을 미국산으로 사용하면 세액공제 미국산 제품 사용에 따른 추가적인 세액공제 혜택을 받을 수 있는 길이 열린 것이다.
58,context,0.4642,0.6493,0.1866,1,3,1,1,neutral,0.9998,0.649391233921051,에너지 관리,E,신재생에너지 전환,"모집 분야는 건설산업 ESG(친환경 자재, 신재생에너지 활용, 순환자원 관리, 탄소저감 기술, CSR CSV, 공급망 관리) Smart Work(마케팅 수주 계약 견적 조달 분양 업무 프로세스 효율화, 자동화) DT 디지털 전환(BIM, AI, VR AR, Drone, Robotics 활용 기술, 스마트 안전) 자유주제(신기술 신공법, 신사업 아이디어 등)로 해당 분야의 전국 소재 7년 미만의 스타트업이라면 누구나 지원가능하다."
59,context,0.4146,0.5764,0.1718,1,1,2,1,neutral,0.9909,0.5817041397094727,에너지 관리,E,신재생에너지 전환,"태양광 발전 예상 투자 규모는 3,800억 달러(503조원)로, 사상 처음으로 석유 생산 투자비 3,700억 달러(490조원)를 추월할 것으로 전망된다. 저탄소 에너지원으로의 전환 규모와 속도가 빨라지고 있다는 의미다."
60,context,0.3716,0.5318,0.1314,1,1,1,1,neutral,0.9856,0.5395234823226929,에너지 관리,E,신재생에너지 전환,"G7은 화석연료 산업에 대한 보조금 지급을 2025년까지 중단한다는 약속을 재확인하는 한편, 2030년까지 태양광 발전 능력을 1테라와트로, 해상풍력 발전 능력은 150기가와트로 확대하기로 했다."
61,context,0.3931,0.5663,0.1332,1,1,1,1,neutral,0.9987,0.5670309662818909,에너지 관리,E,에너지 소비 및 효율화,삼성전자는 작년 9월 발표한 신( )환경경영전략의 일환으로 우리의 작은 불편함이 지구에 큰 힘이 됩니다라는 주제로 에너지 절감을 포함한 다양한 친환경 실천 캠페인을 하고 있다.
62,opportunity,0.3345,0.3822,0.263,1,1,1,1,positive,0.789,0.4844270646572113,기후변화·온실가스,E,Scope 1·2 배출량,"SK하이닉스는 혹서기 전력 사용량 폭증에 대비해 층간 이동 시 계단을 이용하고, 사용하지 않는 전기 제품의 플러그를 뽑도록 해 전기 사용량을 절감하고 있다. 현대차그룹은 자리를 비우거나 퇴근할 때 PC 모니터를 일괄적으로 끄고, 야간에는 주기적으로 소등한다. 전 세계 생산시설에서 태양광, 풍력 등 재생 에너지 사용량도 늘려나가고 있다."
