idx,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
11,opportunity,0.3964,0.4837,0.4541,3,3,1,1,,,,positive,0.6812,0.7100139260292053,에너지 관리,E,신재생에너지 전환,"카카오는 에너지 벤처기업인 식스티헤르츠를 통해 전국시민발전협동조합연합회 소속 시민조합이 생산한 재생 에너지에 대한 공급 인증서(REC)를 구매해 RE100을 달성했다고 설명했다. 연합회는 국내 최대 규모의 에너지 협동조합 연합 단체로, 회원들은 약 240개의 태양광 발전소를 운영하며 재생 에너지를 생산하고 있다. 카카오는 이번 RE100 달성을 시작으로 2030년까지 친환경 에너지 사용 비중을 전체 전력 사용량 대비 60%, 2040년까지 100%로 확대해나갈 방침이다.",TRUE,재무영향낮음(잠재규모1·가능성1)
12,opportunity,0.5028,0.5511,0.5999,3,2,1,1,,,,positive,0.9998,0.5511603951454163,기후변화·온실가스,E,Scope 3 배출량,"한화솔루션의 태양광 자회사인 한화큐셀은 이번 투자는 미 태양광 에너지 산업 역사상 최대 규모이며, 단일 기업이 북미 지역에 태양광 핵심 밸류체인별 생산 라인을 모두 갖추는 첫 사례 라고 밝혔다. 태양광 산업 밸류체인은 원재료인 폴리실리콘과 잉곳, 웨이퍼를 만드는 업스트림(Upstream)과 태양광발전 시스템의 주요 구성품인 셀과 모듈을 만드는 미드스트림(Mid-stream), 그리고 발전사업의 다운스트림(Downstream) 으로 이루어진다.",TRUE,재무영향낮음(잠재규모1·가능성1)
13,opportunity,0.4155,0.5699,0.3323,1,1,1,1,,,,positive,0.997,0.5716385841369629,에너지 관리,E,신재생에너지 전환,한화솔루션이 미국 마이크로소프트(MS)와 친환경 에너지 확산 탄소배출 저감을 위한 전략적 파트너십 협약을 체결했다고 30일 밝혔다. 양사는 이번 협약에 따라 향후 공동으로 태양광 발전 프로젝트를 진행할 계획이다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
14,opportunity,0.4951,0.5957,0.5332,3,1,1,1,,,,positive,0.9998,0.5958372354507446,에너지 관리,E,에너지 소비 및 효율화,"LG는 탄소중립 달성을 위해 고효율 설비를 통한 에너지 효율 개선과 폐열이나 바이오 연료를 활용한 화석연료 대체, 탄소 저감 신기술 개발 및 적용 등에 2030년까지 3조4000억원을 투자하기로 했다. 신기술에는 블루수소나 그린수소 생산 기술도 포함된다.",TRUE,재무영향낮음(잠재규모1·가능성1)
15,context,0.3201,0.6681,0.1327,1,1,1,1,,,,neutral,0.9951,0.6713525056838989,에너지 관리,E,신재생에너지 전환,REC는 재생에너지 전력을 100% 사용한다는 기업의 약속인 RE100 달성 수단이기도 하다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
16,context,0.2828,0.5303,0.1673,1,1,2,1,,,,neutral,0.965,0.5495502948760986,에너지 관리,E,신재생에너지 전환,유렉티브는 EU 집행위의 새로운 규정으로 이런 위험성에서 벗어날 수 있게 됐다며 저탄소 전력을 사용하는 나라에서 수소를 생산할 때 PPA 계약만 체결하면 재생에너지 발전 시설을 새로 구축하지 않아도 재생에너지 수소로 인정받을 수 있는 길이 열렸다고 보도했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
17,context,0.3409,0.7265,0.1333,1,1,1,1,,,,neutral,0.9998,0.7266061305999756,이사회 구조,G,이사회 구성 및 독립성,"한편 글래스 루이스는 이사 선임과 관련해 상장사의 사내이사로 재직하면서 2개 이상 다른 상장사의 이사나 감사, 집행임원을 겸임한 후보자와 5개 이상의 상장사 이사회 구성원을 겸임한 후보자의 이사 선임에 반대 의결권 행사를 권고했다. 국내 상법은 이미 특정인의 상장회사 사외이사 선임을 2개 이내로 제한하고 있는데 여기에 이사회 멤버가 아닌 집행임원까지 포함해 적용하라는 권고인 것이다. 글래스 루이스는 다만 해외 기업을 포함한 5개 상장사의 이사 등을 겸임하는 경우에는 이사 선임에 찬성한다는 입장이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
18,context,0.299,0.5803,0.1599,1,2,1,1,,,,neutral,0.9993,0.5806723237037659,윤리경영·준법,G,반부패 및 컴플라이언스,"회원사는 인권 노동 환경 반부패 4대 분야의 10대 원칙을 준수하고, 지속가능 발전 목표(SDGs)를 달성하기 위해 이행 보고서(COP)를 매년 제출해 공개해야 한다. 국내 게임사 중 최초로 UNGC에 가입한 넷마블은 이용자와 주주, 지역사회 등 이해 관계자에게 지속가능경영 성과를 담은 노력을 공유할 방침이라고 밝혔다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
19,context,0.3171,0.6329,0.1594,1,2,1,1,,,,neutral,0.9961,0.6354144215583801,에너지 관리,E,신재생에너지 전환,"충남대병원은 환경 부문에서는 저탄소 녹색병원을 이루기 위해 환경 관련 법규 준수와 더불어 건물에너지관리시스템 고도화, 지열 및 태양열 이용한 신재생에너지 이용 비율 높이기 등 녹색 인프라를 확충해 나갈 방침이다. 또 사회 부문에서는 사람 중심의 포용적 사회적 가치 실현에 중점을 두고 지배구조 부문에서 역시 여러 이해관계자들과 소통하며 공정하고 투명한 윤리 경영을 추구할 것이라고 강조했다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
20,context,0.276,0.5492,0.1289,1,1,1,1,,,,neutral,0.9669,0.5679919123649597,에너지 관리,E,신재생에너지 전환,"이에 따라 두 기관은 강원랜드의 부지 건물을 활용한 태양광 발전, 폐광 산지를 활용한 육상풍력 등 신재생 에너지 사업을 공동 개발할 예정이다. 이와함께, 폐광 갱도 내 공기열과 수열을 활용한 에너지 효율화 방법도 연구 개발할 계획이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
21,context,0.2479,0.4404,0.1562,1,2,1,1,,,,neutral,0.9762,0.451105535030365,인적자원 관리,S,다양성 및 형평성 (DEI),"임원들의 젠더(gender) 다양성 부문에서는 사무기기 업체인 제록스(Xerox)가 1위에 올랐다. 지난해 기준, 이 회사 임원의 58%(2021년에는 43%)가 여러 인종 출신으로 구성돼 있었다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
22,context,0.3247,0.6802,0.1333,1,1,1,1,,,,neutral,0.9999,0.6802626848220825,인적자원 관리,S,다양성 및 형평성 (DEI),ESG의 세부 분야별로는 환경(E)의 경우 온실가스 감축 실적 항목을 늘리고 사회(S)에서는 장애인 고용률 등의 비중을 높인다. 거버넌스(G)에서는 사외이사 격인 비상임이사의 활동내용 등 항목을 새로 만들었다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
23,opportunity,0.4081,0.5624,0.325,1,1,1,1,,,,positive,0.9749,0.5768507122993469,에너지 관리,E,신재생에너지 전환,"KB증권은 재생에너지를 통한 비용절감 및 탄소발자국 줄이기 위한 ESG경영을 위해 KB증권 소유 건물인 경기도 용인시 연수원에 105kW, 울산광역시 남울산사옥에 10kW 용량의 태양광 발전설비를 준공했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
24,context,0.2516,0.4858,0.1255,1,1,1,1,,,,neutral,0.9412,0.51617830991745,기후변화·온실가스,E,Scope 3 배출량,"EU는 당초 탄소 배출량이 많고 배출량을 측정하기 쉬운 시멘트와 철 철강, 알루미늄, 비료, 전력을 1차 적용 대상으로 정했으나, 이번 합의를 통해 화석연료로 생산하는 수소와 특정 전구체, 나사 및 볼트 등 일부 다운스트림 제품으로 적용 대상 산업과 품목을 확대했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
25,opportunity,0.3846,0.3426,0.3933,1,1,2,1,,,,positive,0.9076,0.3774997293949127,에너지 관리,E,신재생에너지 전환,EIA는 올해 미국에서 54.5기가와트 규모의 발전 설비가 신설되고 이중 54%인 29.1기가와트 규모의 태양광 발전 설비가 새로 구축될 것으로 전망했다.,TRUE,영향도낮음(규모1·범위1)
26,context,0.2897,0.5862,0.13,1,1,1,1,,,,neutral,0.975,0.6012417078018188,인적자원 관리,S,다양성 및 형평성 (DEI),"코포리트 나이츠는 지속가능한 투자와 수익, 탄소 생산성, 인종과 성별 다양성 등 25가지 지표로 기업의 지속가능 등급을 매긴다. 핵심 비즈니스 모델에 지속가능한 해결책을 갖추고 있는지, 탄소 배출량 감축 노력과 투자를 제대로 하고 있는지를 중점적으로 따진다",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
27,context,0.2538,0.4777,0.1332,1,1,1,1,,,,neutral,0.9988,0.47827330231666565,에너지 관리,E,신재생에너지 전환,"한편, 영국의 에너지 싱크탱크 엠버에 따르면 2021년 세계의 평균 재생에너지 발전 비중은 10.3%인 가운데 한국은 4.7%에 불과했다. 한국은 2030년까지 발전 비중을 원자력 32.4%, 액화천연가스(LNG) 22.9%, 신재생에너지 21.6%, 석탄 19.7% 로 가져간다는 목표다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
28,context,0.2975,0.6025,0.1333,1,1,1,1,,,,neutral,0.9998,0.6026042699813843,이사회 구조,G,이사회 구성 및 독립성,한국ESG평가원 손종원 대표는 ESG경영에 힘쓰는 기업들은 이사회 구성과 운영에 많은 경영자원을 집중하고 그 결과 사외이사의 보수와 대우에도 많은 비용을 지불한다는 사실이 확인된 점이 흥미롭다 고 말했다. 그러나 사외이사의 높은 연봉이 기업지배구조에 도움된다고 볼 수는 없다. 연봉이 자칫 과잉으로 흐를 경우 이사회 멤버들의 독립적 활동을 저해하는 요소가 될 수도 있다 고 지적했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
29,opportunity,0.3964,0.4837,0.4541,3,3,1,1,,,,positive,0.6812,0.7100139260292053,기후변화·온실가스,E,Scope 1·2 배출량,"카카오는 에너지 벤처기업인 식스티헤르츠를 통해 전국시민발전협동조합연합회 소속 시민조합이 생산한 재생 에너지에 대한 공급 인증서(REC)를 구매해 RE100을 달성했다고 설명했다. 연합회는 국내 최대 규모의 에너지 협동조합 연합 단체로, 회원들은 약 240개의 태양광 발전소를 운영하며 재생 에너지를 생산하고 있다. 카카오는 이번 RE100 달성을 시작으로 2030년까지 친환경 에너지 사용 비중을 전체 전력 사용량 대비 60%, 2040년까지 100%로 확대해나갈 방침이다.",TRUE,재무영향낮음(잠재규모1·가능성1)
30,opportunity,0.3207,0.4719,0.2393,1,1,1,1,,,,positive,0.718,0.6572133898735046,에너지 관리,E,신재생에너지 전환,한국동서발전은 샤넬코리아와 기후변화 영향 완화 해결책 모색을 위한 업무협약을 체결했다고 13일 밝혔다. 이번 협약에 따라 한국동서발전은 샤넬코리아의 RE100 달성을 지원한다. RE100은 기업이 사용하는 전력 100%를 재생에너지로 대체하는 것이 목표인 국제적인 기업 협약 프로젝트다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
31,context,0.2482,0.4628,0.1326,1,1,1,1,,,,neutral,0.9947,0.4652520418167114,에너지 관리,E,신재생에너지 전환,"지열 개발이 순조롭게 진행되려면 개발 기술이 더 고도화해야 하는 것은 물론이고 풍력과 태양광 같은 전통 재생 에너지보다 생산원가가 비싸다는 문제가 극복돼야 한다. 에너지부 보고서를 보면, 풍력이나 태양광 발전에 들어가는 비용은 kWe당 1700 2100달러인데 비해 지열 개발은 3000 6000달러나 된다. 그래서 지열 옹호론자들은 미 정부가 지열 발전 촉진에 더 많은 예산을 써야 한다고 요구하고 있다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
32,context,0.2742,0.5388,0.1318,1,1,1,1,,,,neutral,0.9888,0.544908344745636,에너지 관리,E,신재생에너지 전환,RPS 대상 사업자의 의무공급비율을 상향조정하면 REC 매수를 놓고 RPS 사업자와 기업이 경쟁해 REC 가격이 상승할 수도 있다. RE100 가입 기업에는 불리한 여건이 조성될 수 있는 셈이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
33,context,0.3669,0.694,0.24,1,2,3,1,,,,neutral,0.9999,0.6941072940826416,기후변화·온실가스,E,기후 거버넌스·인벤토리,"개정된 프로토콜에는 투자 대상 국채 관련 탄소회계 방법론도 처음 포함됐다. 국채는 대다수 기관투자자의 주요 투자 대상이다. 탄소회계는 기업이 발생시킨 탄소와 그 영향을 정량화해 관리하는 시스템이다. 넷제로투자자연합은 탄소회계금융협회(PCAF), ASCOR(Assessing Sovereign Climate-related Opportunities and Risks)와 협력해 국채 관련 탄소회계 방법론과 탄소 측정 기준을 개발하고 있다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
34,opportunity,0.5468,0.729,0.4333,1,1,2,1,,,,positive,0.9999,0.7290977239608765,에너지 관리,E,신재생에너지 전환,이와 함께 한국동서발전과 샤넬코리아는 태양광발전소 가상 전력 구매계약(Virtual-PPA) 을 체결한다. 샤넬코리아는 이번 계약으로 약 2메가와트(MW) 규모의 재생에너지를 20년간 안정적으로 확보할 수 있을 전망이다.,TRUE,영향도낮음(규모1·범위1)
35,context,0.3354,0.711,0.1332,1,1,1,1,,,,neutral,0.999,0.7116645574569702,에너지 관리,E,신재생에너지 전환,"RE100에 가입하려면 가입 신청서 제출 후 클라이밋 그룹의 가입 승인을 받아야 한다. RE100에 가입한 기업은 1년 안에 이행계획을 제출하고 매년 이행상황을 점검받는다. RE100 가입 기업은 재생에너지 사용실적을 제3의 기관을 통해 검증받고, ESG 공시기준 제공 기관인 CDP가 제시하는 기술적 기준(technical criteria)에 따라 매년 이행 실적 보고서를 제출해야 한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
36,opportunity,0.4472,0.6587,0.3333,1,1,1,1,,,,positive,0.9998,0.6588200926780701,에너지 관리,E,신재생에너지 전환,"우선, 한화솔루션은 올해 MS가 전력 구매 계약(PPA)을 체결할 태양광 발전소에 2.5기가와트(GW) 이상의 모듈을 공급할 예정이다. MS의 태양광 발전소 건설을 위한 설계 조달 시공(EPC) 역시 한화솔루션이 맡게 된다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
37,opportunity,0.427,0.4011,0.5333,3,1,1,1,,,,positive,0.9999,0.4011436998844147,에너지 관리,E,신재생에너지 전환,한화솔루션은 지난해 3분기에 태양광 모듈 판매 호조에 힘입어 사상 최대 영업이익을 달성했다. 특히 신재생에너지 부문 영업이익은 1972억원으로 전년동기 대비 흑자 전환했다.,TRUE,재무영향낮음(잠재규모1·가능성1)
38,context,0.3107,0.6404,0.1332,1,1,1,1,,,,neutral,0.9993,0.6408178806304932,인적자원 관리,S,다양성 및 형평성 (DEI),"환경과 DEI를 임원 성과급 지급 기준으로 삼는 기업이 크게 늘면서, 임원 성과급 책정 때 하나 이상의 환경 성과 지표를 고려한 기업은 2021년 22%에서 2022년 40%로 , DEI 지표를 활용한 기업도 같은 기간 22%에서 45%로 크게 확대됐다. WTW의 임원 보수 조사팀장인 리처드 벨필드는 기관투자자와 직원은 물론이고 시장에서 받는 압력 때문에 기업들은 임원 성과급과 ESG 성과를 연동하는데 더 신경을 쓴다 며 기후변화와 환경 대책, 포용과 다양성 문제, 전반적인 인적자원 거버넌스 면에서 특히 그렇다 고 설명했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
39,context,0.2979,0.6043,0.1329,1,1,1,1,,,,neutral,0.9964,0.6065043210983276,인적자원 관리,S,다양성 및 형평성 (DEI),"무엇보다 ESG 성과 지표 중에서 환경과 DEI 성과 지표 활용 기업이 2021년보다 대략 두 배로 늘어 가장 두드러진 증가세를 보였다. DEI는 다양성, 형평성, 포용성을 뜻하는 Diversity, Equity, Inclusion의 약자다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
40,opportunity,0.3027,0.3418,0.3407,3,1,1,1,,,,positive,0.6388,0.5350496768951416,에너지 관리,E,신재생에너지 전환,한화솔루션은 신재생에너지 발전과 연계한 친환경 데이터센터와 물류센터 개발 사업을 발굴 투자하고 SKS크레딧은 신규 펀드 2500억원의 규모로 조성해 투자 자금을 조달하고 수익 관리를 담당한다.,TRUE,낮은신뢰도(0.639) | 재무영향낮음(잠재규모1·가능성1)
41,context,0.2725,0.5309,0.1333,1,1,1,1,,,,neutral,0.9995,0.5312036871910095,인적자원 관리,S,다양성 및 형평성 (DEI),"블룸버그 로(Bloomber Law)의 1일 보도에 따르면 글래스루이스는 기후변화와 다양성 등에 관한 자사의 주총 의결권 행사 권고가 주주의 경제적 이익 을 증진한다고 밝혔다. 이에 앞서 텍사스주와 유타주, 웨스트버지니아주 등 공화당이 집권한 21개 주의 법무장관은 글래스 루이스와 ISS에 2023년 주총 의결권 행사 지침을 겨냥한 서한을 보냈다. 이들 주는 ESG 이슈 의결권 행사 권고가 투자자에게 그리 중대한(material) 주제가 아니라며 자기 주의 투자자와 연기금의 경제적 가치를 위협할 수 있다 고 주장했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
42,context,0.274,0.5354,0.1333,1,1,1,1,,,,neutral,0.9999,0.5355017185211182,이사회 구조,G,이사회 구성 및 독립성,금융계에 따르면 손 회장은 입장 발표에 앞서 이날 오전 우리금융 이사회 구성원과 만나 자신의 거취 관련 입장을 전달했다. 손 회장의 연임 포기는 이날 오후 차기 회장을 뽑기 위한 우리금융 임추위 첫 회동을 앞두고 나왔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
43,context,0.3293,0.4799,0.3466,3,3,3,1,,,,neutral,0.9998,0.47996091842651367,에너지 관리,E,신재생에너지 전환,"확정안에 따르면 2030년 전체 발전량 중 원자력발전은 201.7테라와트로 가장 큰 비중(32.4%)을 차지하고 다음은 142.4테라와트의 액화천연가스(LNG) 발전(22.9%), 134.1테라와트의 신재생에너지 발전(21.6%) 순이다. 석탄 발전은 122.5테라와트(19.7%)로 낮아진다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
44,context,0.2789,0.5495,0.1332,1,1,1,1,,,,neutral,0.9991,0.5500444173812866,이사회 구조,G,이사회 구성 및 독립성,국민연금이 KT 지배권에 적극 개입하는 것과 관련해 주목을 끈 것은 KT의 이사회 구성이다. 과거 노무현 참여정부에서 청와대 시민사회수석을 지냈던 이강철씨와 역시 참여정부 청와대의 경제정책수석을 지낸 김대유씨가 KT의 현 사외이사다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
45,opportunity,0.4309,0.6124,0.3332,1,1,1,1,,,,positive,0.9997,0.6125576496124268,에너지 관리,E,신재생에너지 전환,이로써 한화솔루션은 MS가 2030년 탄소 중립 조기 달성을 목표로 추진 중인 에너지 전환 사업에 태양광 발전 모듈을 공급하는 것은 물론이고 발전소 설계 시공까지 맡게 됐다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
46,context,0.3178,0.6258,0.17,1,1,2,1,,,,neutral,0.9809,0.6380013227462769,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,탄소SAFE 2단계 저장 단지의 실현가능성(CarbonSAFE Phase II Storage Complex Feasibility) 을 목적으로 하는 11개 프로젝트에는 9300만 달러가 투자된다. 이 프로젝트들은 저장 단지 내의 역내외 이산화탄소 프로젝트 추진 장소들을 상업적 차원에서 효과적이고 안전하게 평가하는 절차를 개선하는 일이다. 이들 프로젝트는 누적 5000만 톤이 넘는 이산화탄소를 저장할 지질을 찾아 시설을 짓는 일에 집중할 탄소SAFE 이니셔티브 에 따라 선별된 것들이다. 탄소SAFE는 탄소저장 보증시설 사업(Carbon Storage Assurance Facility Enterprise) 의 약자다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
47,context,0.3683,0.7246,0.2133,3,1,1,1,,,,neutral,0.9999,0.7246688604354858,에너지 관리,E,신재생에너지 전환,"2030년 재생에너지 발전 비중을 현재의 6.2%에서 21.6%로 높이는 목표를 달성하기 위한 조치다. 구체적으로 최근 공급 초과 현상이 빚어지고 있는 재생에너지공급 인증서(Renewable Energy Certificate, REC) 시장 수급여건을 개선함으로써 재생에너지 발전사업자의 수익성을 개선해 재생에너지 발전량을 늘리기 위한 조치다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
48,context,0.3186,0.6099,0.1863,1,3,1,1,,,,neutral,0.9983,0.6109675765037537,에너지 관리,E,에너지 소비 및 효율화,"미국의 법률 전문매체 렉솔로지(Lexology)는 3일 이번 개편으로 탄소배출권 거래제가 EU 경제의 거의 모든 분야에 적용될 것 이라며 이산화탄소 배출에 따른 비용 부담에 대비해 기업과 공공부문, 가계는 가용 기술과 탄소포집, 재생에너지 투자, 에너제 효율 개선 등에 집중해야 한다 고 지적했다.",TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
49,context,0.302,0.6174,0.1322,1,1,1,1,,,,neutral,0.9918,0.6224867105484009,에너지 관리,E,신재생에너지 전환,한화솔루션은 보고서를 통해 공장 내 유휴 부지를 활용한 태양광 자가발전 추진 재생에너지 기반 전력 확보 회사 차량의 친환경 차량 전환 캠페인 등 다양한 재생에너지 전환에 대한 자사의 노력을 소개했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
50,context,0.1553,0.3037,0.0754,1,1,1,1,,,,neutral,0.5658,0.536819577217102,기후변화·온실가스,E,Scope 1·2 배출량,삼성전자가 내놓은 2023년형 비스포크 가전은 핵심 부품 고효율화로 에너지 효율을 대폭 높이고 고도화된 인공지능(AI) 기능으로 사용 편의성이 강화된 것이 특징이다. 스마트싱스 기반의 에너지 관리 솔루션인 스마트싱스 에너지를 활용해 비스포크 가전을 관리하면 전력 사용량을 최대 70%까지 추가 절감할 수 있다.,TRUE,낮은신뢰도(0.566) | 감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
