idx,db_id,iro,final_score,base_score,impact_score,scale,scope,probability,irreversibility,fin_scale,fin_prob,financial_score,polarity,confidence,similarity,issue_group,domain,sub_issue_name,text,review_needed,review_reason
11,2941,context,0.3349,0.6827,0.1599,1,2,1,1,,,,neutral,0.9994,0.6831465363502502,윤리경영·준법,G,반부패 및 컴플라이언스,활동 목표는 온실가스 감축과 저탄소 자원선순환 경제 실천 인권과 노동기준 준수를 위한 행동규범 수립 역량과 성과에 따른 공정한 인사 보상체계 구축 소비자 권익과 관계기업의 성장 및 지역사회 혁신 발전 법규 준수 프로그램을 통한 반부패 문화 확산 자발적 공급망 실사와 적극적 자율공시 확대 등이다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
12,2933,context,0.239,0.397,0.1723,1,1,2,1,,,,neutral,0.9941,0.3993355929851532,윤리경영·준법,G,반부패 및 컴플라이언스,"그렇지만 이제는 시대가 달라졌다. 기업은 재무적 이익뿐만 아니라 환경, 인권, 반부패 등 비재무적 요소도 중요하게 고려해야 하는 상황이다. 그렇지 않으면 소비자들이 책임을 묻고 투자자들이 외면하면서 기업 자체의 지속가능성이 현저히 떨어지기 때문이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
13,2963,context,0.2506,0.4704,0.1322,1,1,1,1,,,,neutral,0.9914,0.47446712851524353,윤리경영·준법,G,반부패 및 컴플라이언스,UNGC는 전 세계 162개국에서 2만여개의 기업이 참여하고 있는 세계 최대 규모의 자발적 기업시민 이니셔티브로 인권 노동 환경 반부패 모두 4개 영역의 10대 원칙을 공표해 기업들의 사회적 책임 실천을 촉구하고자 2000년 출범한 UN의 국제협약이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
14,2887,context,0.3268,0.6062,0.2133,1,1,3,1,,,,neutral,0.9998,0.6062769293785095,윤리경영·준법,G,반부패 및 컴플라이언스,중소벤처기업진흥공단(이하 중진공)은 12일 오후 경남 진주 본사에서 제1차 윤리 인권경영위원회를 열어 올해 윤리 인권경영 계획을 확정하고 반부패 청렴정책 계획에 대한 자문을 진행한다고 20일 밝혔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
15,2986,opportunity,0.4448,0.5495,0.3279,1,1,1,1,,,,positive,0.9838,0.55855792760849,이사회 구조,G,이사회 구성 및 독립성,"특히, 건전한 지배구조 구축에 모범을 보이고 있는 것으로 나타났다. ESG경영 의지와 주주권리 보호, 이사회 구성과 운영 등의 항목에서 높은 평가를 받았다. 환경부문 성과가 상대적으로 미흡했지만, 보완 노력을 기대한다고 평가원은 밝혔다.",TRUE,영향도낮음(규모1·범위1)
16,2985,context,0.3002,0.6101,0.1333,1,1,1,1,,,,neutral,0.9998,0.6102016568183899,이사회 구조,G,이사회 구성 및 독립성,"윤 후보는 대표이사로 취임하면 지배구조개선TF를 구성하여 혁신에 나서겠다고 약속했다. ESG경영을 강화하면서 대표이사 승계 프로그램과 이사회 구성 등을 대폭 손보고, 사회이사추천위원회 구성에 대표이사를 제외하는 등 KT 지배구조를 개선하겠다는 의지를 밝혔다. 소유분산 기업의 지배구조 개선을 주문한 정부 정책 방향에 화답한 셈이다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
17,2956,context,0.3396,0.6771,0.1333,1,1,1,1,,,,neutral,0.9999,0.677148699760437,윤리경영·준법,G,반부패 및 컴플라이언스,경기주택도시공사는 이번 세미나에서 이해충돌방지법 등 강화된 공직윤리 법령 주요 신고 상담 사례를 통한 반부패 쟁점 인권중심 기업문화 육성을 위한 경영방향 등을 주제로 부패리스크 사전 예방을 위한 토론 등을 진행했다. 또 경기주택도시공사는 향후 갑질 근절 등 인권이슈 대응을 위한 인권센터 설치를 추진키로 했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
18,2826,context,0.3154,0.6535,0.1333,1,1,1,1,,,,neutral,0.9999,0.653581976890564,이사회 구조,G,이사회 구성 및 독립성,"사회 영역에서는 최근 화두가 되는 인권 리스크에 대한 실사와 개선, 공급망 ESG 관리를 위한 노력과 제품의 품질 및 안전성을 높이는 활동들을 설명했다. 지배구조에서는 이사회 구성과 운영 등 투명하고 건전한 지배구조 구축을 위한 노력, 윤리 준법경영 관련 제도와 관리 활동 등을 소개했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
19,2852,opportunity,0.276,0.386,0.2168,1,1,1,1,,,,positive,0.6503,0.5936278104782104,윤리경영·준법,G,반부패 및 컴플라이언스,법무법인 대륙아주의 이상봉 변호사는 유럽연합(EU)의 공급망실사법 도입 등으로 해외 공급망에 대한 ESG 리스크 관리가 중요해졌다며 이를 위해서도 기업의 컴플라이언스 시스템 구축이 필요하다고 말했다.,TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
20,2981,opportunity,0.4848,0.6535,0.4538,1,3,1,1,,,,positive,0.9724,0.6720902919769287,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,"거대한 우주사업에 도입된 RO 정수 시스템을 가정에서 손쉽게 쓸 수 있도록 정수 및 필터 기술 발전에 기여해온 것이 코웨이의 R D다. R D센터인 환경기술연구소를 주축으로 디자인연구소, TQA(Trust Quality Assurance)센터, 생산기술연구실 등이 포진해 있다. 회사 관계자는 국내외 신제품,신기술 개발을 담당하는 환경기술연구소, 품질 관련 총괄조직인 TQA실, 제품 디자인 및 UI 구조설계 등을 개발하는 디자인연구소 등으로 연구개발 구조를 분담 체계화했다고 설명했다.",TRUE,재무영향낮음(잠재규모1·가능성1)
21,2850,context,0.3245,0.5741,0.2391,1,1,3,2,,,,neutral,0.9961,0.5763329863548279,윤리경영·준법,G,반부패 및 컴플라이언스,국제 법무법인 사이들리 오스틴(Sidley Austin)의 인혜연 변호사는 13일 법무법인 대륙아주와 한국생산성본부가 공동 주최한 ESG 세미나에서 컴플라이언스 시스템이 구축되지 않으면 ESG는 심각한 소송 리스크가 될 수 있다 고 말했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
22,2802,context,0.3068,0.6295,0.133,1,1,1,1,,,,neutral,0.9975,0.6310412883758545,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,"ISSA 5000은 제한적 확신과 합리적 확신을 모두 수행한다. 고정연 팀장에 따르면 제한적 확신(Limited Assurance)은 인증 대상 정보에 대한 정보 사용자의 신뢰가 유의미한 수준 이상이지만, 합리적 확신에 미치지 못하는 확신 수준을 뜻한다. 대표적인 사례로 기업의 분기나 반기 재무제표에 대한 감사인의 검토의견이 여기에 해당한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
23,2899,context,0.3442,0.736,0.1333,1,1,1,1,,,,neutral,0.9999,0.7360415458679199,이사회 구조,G,이사회 구성 및 독립성,(4) 100% 사외이사로만 구성된 사외이사후보추천위원회(이하 사추위)가 최종 후보를 선발하여 주주총회에 올린다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
24,2989,opportunity,0.4368,0.5305,0.445,1,3,1,1,,,,positive,0.9535,0.5563472509384155,이사회 구조,G,이사회 구성 및 독립성,"신한금융지주의 ESG 종합등급은 A 로 업종 평균을 크게 상회하는 최상급이다. 부문별로 보면 환경 등급이 상대적으로 미흡하나 지배구조 평가에서 업종 내 가장 높은 점수를 받았다. 종합점수 기준으로 금융업계 2위에 올랐다. 이사회 구성 및 운영에서 높은 점수를 받았고, 경영자 평가, 주주권리 보호 측면에서도 우수하다는 평가다.",TRUE,재무영향낮음(잠재규모1·가능성1)
25,2886,context,0.3297,0.6945,0.1333,1,1,1,1,,,,neutral,0.9999,0.6945335865020752,이사회 구조,G,이사회 구성 및 독립성,"7인 후보 중 주주추천 후보는 3인에 그쳤다. 더구나 3인이 주요주주인 국민연금, 현대차그룹, 신한은행 추천 후보인지 여부도 확인되지 않았다. 회사 경영에 대한 책임과 이해를 함께 하는 주요주주의 의견이 이사회 구성에서 좀 더 많이 반영되어야 한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
26,2851,context,0.305,0.6238,0.1333,1,1,1,1,,,,neutral,0.9999,0.6238349080085754,윤리경영·준법,G,반부패 및 컴플라이언스,그는 또한 중요한 ESG 사안에 대해 이사회와 ESG위원회의 검토를 공식화하고 법무팀과 컴플라이언스 부서를 대상으로 ESG 교육을 실시하AU 고객이나 대중과 같은 제3자와의 ESG 약속을 성실하게 이행해야 한다고 강조했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
27,2830,context,0.3031,0.6184,0.1333,1,1,1,1,,,,neutral,0.9997,0.6186028122901917,이사회 구조,G,이사회 구성 및 독립성,"케네스 국(Kenneth Kuk) WTW 업무 보상 담당 선임 이사는 이사회 구성원들은 이해관계자의 압력에 대응하는 차원에서 더 나아가서 ESG 의제를 비즈니스 전략과 적극적으로 연계하는 수준으로 진화하고 있다 면서 그 결과로 기술과 자원 격차 해소에 대한 관심이 커지고, 새로운 리스크를 감독할 필요성을 더욱 절감하고 있다 고 말했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
28,2959,context,0.2959,0.5667,0.1267,1,1,1,1,,,,neutral,0.9499,0.5965399742126465,이사회 구조,G,이사회 구성 및 독립성,"헤지펀드는 기대수익이 큰 투자 전략을 구사해 기업 자산을 재분배하거나 지배구조, 경영 방향을 급격히 바꿈으로써 수익을 얻으려 한다. 합병, 분사를 모색하기도 하고 배당 확대나 자사주 매입 등 자본배분 문제에 집중하는 성향이 강하다. 헤지펀드는 이사회 구성원을 자신이 지목한 인사로 교체하려는 위임장 대결을 벌이기도 한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1)
29,2939,context,0.3484,0.6568,0.1332,1,1,1,1,,,,neutral,0.999,0.6574322581291199,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,ESG 공시 내용에 대한 제3자 인증에 대해서는 제한적 인증을 의무화하는 방안이 제시됐다. 그는 제한적(limited assurance) 수준으로 인증 의무를 부과하고 합리적 확신(reasonable assurance) 수준으로의 상향은 추후 검토 가 필요하다고 말하고 인증인의 전문성과 투명성을 높이고 이해상충 방지를 위한 규율체계 확립 도 필요하다고 말했다. 그는 특히 법정 공시로 전환 후에는 인증기관의 진입과 행위 규제가 법제화돼야 한다고 덧붙였다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1)
30,2652,context,0.2847,0.5658,0.1333,1,1,1,1,,,,neutral,0.9997,0.5659371018409729,윤리경영·준법,G,반부패 및 컴플라이언스,우리금융그룹이 임종룡 회장을 비롯한 전 계열사 최고경영자(CEO)가 참여한 윤리강령 준수 서약식을 실시했다고 30일 밝혔다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
31,2642,opportunity,0.2911,0.4054,0.257,1,1,2,1,,,,positive,0.593,0.6835966110229492,윤리경영·준법,G,반부패 및 컴플라이언스,"최근 ESG 공시 인증 기준인 국제지속가능성인증기준(International Standard on Sustainability Assuarance 5000, ISSA 5000)을 공개한 IAASB는 인증제공자는 국제윤리기준위원회의 국제윤리기준(International Independence Standards)을 포함한 전문회계사 윤리강령(International Code of Ethics for Professional Accountants)과 같은 관련 윤리적 요구 사항을 준수하고 ISSAB의 품질관리기준에 부합하는 수준의 품질관리 시스템을 갖출 것을 요구한다. 인증기관의 독립성도 중요한 자격 조건이다.",TRUE,낮은신뢰도(0.593) | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
32,2636,context,0.3553,0.6354,0.2658,3,3,1,1,,,,neutral,0.9966,0.6375842690467834,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,신한금융은 이들 7개 자산유형에 대한 금융배출량을 공시하고 있고 로이드인증원으로부터 금융배출을 포함한 전체 온실가스 배출량 공시에 대해 제한적 확신(limited assurance) 수준의 인증도 받았다. 금융배출량 공시 대상을 전환금융 배출량까기 확대하는 것은 PCAF가 정한 기준을 넘어서는 일이다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
33,2625,context,0.161,0.3336,0.068,1,1,1,1,,,,neutral,0.5098,0.6544657945632935,윤리경영·준법,G,반부패 및 컴플라이언스,ISSA 5000은 인증에 참여할 수 있는 기관도 회계법인뿐 아니라 일정 자격을 가진 독립된 기관으로 정해 놓았다. 인증 기관은 국제윤리기준위원회의 국제윤리기준(International Independence Standards)을 포함한 전문회계사 윤리강령(International Code of Ethics for Professional Accountants)과 같은 관련 윤리적 요구 사항을 준수하고 ISSAB의 품질관리기준에 부합하는 수준의 품질관리 시스템을 적용해야 한다.,TRUE,낮은신뢰도(0.510) | 감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
34,2620,opportunity,0.4316,0.6155,0.3326,1,1,1,1,,,,positive,0.9978,0.6169008612632751,이사회 구조,G,이사회 구성 및 독립성,"KAI는 국내 ESG 평가기관 서스틴베스트로부터 2023년 상반기 ESG 종합평가에서 지난해보다 한 단계 높은 AA를 획득했다. 해당 평가에서 최고 등급이다. 기업 혁신 활동과 생산공정, 공급망 관리, 주주 권리 및 이사회 구성과 활동 등에서 높은 평가를 받았다고 KAI 측은 설명했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
35,2626,context,0.3364,0.7135,0.1333,1,1,1,1,,,,neutral,0.9997,0.7136641144752502,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,그는 또한 ESG공시가 재무공시 수준의 완전성과 신뢰성을 담보할 수 있도록 (공시)프로세스를 재설계하고 있다 며 이를 위해 ESG 데이터 거버넌스 명확화와 내부통제 체계 구축 등이 중요하다고 판단해 기존 재무정보 프로세스와 통합 수준을 높이는 데 집중하고 있다 고 말했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
36,2644,context,0.3091,0.4965,0.2266,1,3,2,1,,,,neutral,0.9995,0.49679043889045715,이사회 구조,G,이사회 구성 및 독립성,"이번 서밋에서는 또 SK 주요 사업인 전기차 배터리와 인공지능(AI) 등의 글로벌 시장 전망과 관계사 전략을 살펴보고, 전략 투자 관련 이사회 역할과 SK 성장을 위한 이사회 구성 방향성 등에 대해 의견을 나눴다.",TRUE,감정불명확
37,2641,context,0.261,0.5339,0.1141,1,1,1,1,,,,neutral,0.8557,0.623988926410675,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,"제한적 확신(Limited Assurance)은 인증 대상 정보에 대한 정보 사용자의 신뢰가 유의미한 수준 이상이지만, 합리적 확신에 미치지 못하는 수준을 뜻한다. 대표적인 사례로 기업의 분기나 반기 재무제표에 대한 감사인의 검토의견이 여기에 해당한다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
38,2714,context,0.2662,0.5135,0.1331,1,1,1,1,,,,neutral,0.9986,0.5141955614089966,윤리경영·준법,G,반부패 및 컴플라이언스,"삼성준법감시위원회는 지난달 26일 경기 용인시 삼성인력개발원 호암관에서 관계사 컴플라이언스(준법감시) 워크숍을 개최했다고 4일 밝혔다. 이날 행사에는 이찬희 삼성 준감위 위원장과 위원, 사무국 직원, 삼성전자 삼성물산 삼성SDI 삼성전기 삼성SDS 삼성생명 삼성화재 등 준법지원 감시인을 포함해 70여명이 참여했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
39,2603,context,0.2392,0.4635,0.1325,2,1,1,1,,,,neutral,0.7644,0.6063464879989624,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,합리적 확신(Reasonable Assurance)은 인증 제공자가 인증 대상 정보가 왜곡되지 않았다는데 절대적이진 않아도 상당히 높은 수준의 확신을 갖고 있다는 의미다. 기업 재무제표에 대한 감사인의 감사의견이 합리적 확신에 해당한다.,TRUE,감정불명확 | 재무영향낮음(잠재규모1·가능성1)
40,2653,context,0.3131,0.647,0.1333,1,1,1,1,,,,neutral,0.9999,0.6470476984977722,윤리경영·준법,G,반부패 및 컴플라이언스,윤리강령 준수 서약식을 통해 임 회장을 비롯한 우리금융 CEO들은 올바른 윤리강령과 행동 기준을 실천해 내부통제 실효성을 강화하고 이를 조직문화로 삼을 것을 대내외에 약속했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
41,2715,context,0.3148,0.652,0.1333,1,1,1,1,,,,neutral,0.9998,0.6520874500274658,윤리경영·준법,G,반부패 및 컴플라이언스,"위원회는 지난 3년간 위원회와 관계사가 협력해 온 삼성 컴플라이언스 운영 체계를 점검하고, 새로운 ESG 관련 리스크 및 이슈 파악, 대응 방안 도출을 위해 자리를 마련했다고 밝혔다. 이번 워크숍은 준법경영의 발전을 위한 길 을 주제로 노사관계, ESG, 지배구조 등 전문가 강의와 함께 관계사의 주요 컴플라이언스 활동을 공유하는 시간으로 구성됐다. 이날 준법지원 감시인들은 각각 컴플라이언스 우수사례, 중대재해 처벌 등에 관한 법률 관련 활동, 금융 관련 컴플라이언스 규제 및 대응 현황 등에 대해 발표했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
42,2786,context,0.3367,0.7146,0.1332,1,1,1,1,,,,neutral,0.9992,0.7151300311088562,ESG 데이터 거버넌스,G,ESG 데이터 내부통제,스코프 1과 2 배출량 공시의 경우 다른 재무 정보 공시와 마찬가지로 공시 내용에 관한 외부 인증을 거쳐야 한다. 삼일PwC에 따르면 온실가스 배출량 공시에 대한 인증은 우선 제한된 인증(limited assurance)로 시작해 합리적 인증(reasonable assurance)로 전환될 예정이다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
43,2712,context,0.3142,0.6566,0.1298,1,1,1,1,,,,neutral,0.9737,0.6743730306625366,윤리경영·준법,G,반부패 및 컴플라이언스,"장충모 전남개발공사 사장은 반부패, 규범 준수 리스크를 상시로 점검하고 개선할 수 있는 지배구조를 제도화했다 며 윤리경영 실천에 최선을 다하겠다 고 말했다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
44,2654,context,0.3299,0.6149,0.2133,1,1,3,1,,,,neutral,0.9998,0.6149929761886597,윤리경영·준법,G,반부패 및 컴플라이언스,이번에 제정된 우리금융그룹 윤리강령 가이드라인은 조직구성원이 우리금융이 설정한 윤리 수준을 이해하고 행동할 수 있도록 도와주는 구체적인 행동 기준이다. 임 회장은 윤리경영 가이드라인은 업무수행 과정에서 옳고 그름의 판단 기준이 될 것 이라며 우리의 발목을 잡았던 금융사고를 반면교사로 삼아 CEO들이 솔선수범해서 윤리경영 문화를 완성해달라 고 당부했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
45,2775,context,0.3362,0.713,0.1333,1,1,1,1,,,,neutral,0.9996,0.7132871150970459,이사회 구조,G,이사회 구성 및 독립성,다만 이 위원장은 수평적 지배구조에 대해서는 대표이사와 이사회 의장의 분리를 대부분 관계사에서 실천하고 있고 외이사를 비롯한 이사회 권한 강화와 50% 넘는 여성 사외이사 비율 등 개선 성과가 있었다고 설명했다.,TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
46,2754,context,0.3015,0.614,0.1333,1,1,1,1,,,,neutral,0.9999,0.61402428150177,윤리경영·준법,G,반부패 및 컴플라이언스,"토픽 기준은 구매 정책, 반부패, 세금 등 공시 기업이 미친 경제적 영향에 관한 정보 공개 원재로 사용과 에너지, 용수, 생물다양성, 온실가스, 폐기물 등 공시 기업이 환경에 미친 영향 고용과 노사관계, 안전보건, 교육, 다양성 등 공시 기업의 고용와 인적자원 관련 정보 공개로 이루어져 있다.",TRUE,감정불명확 | 영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
47,2602,opportunity,0.4314,0.6169,0.3315,1,1,1,1,,,,positive,0.9946,0.6202223896980286,이사회 구조,G,이사회 구성 및 독립성,"SK가스는 적극적인 탄소 감축과 안전 보건 관리, 지속적인 이사회 독립성 향상 노력 등이 인정받으면서 지난 8월 AA에서 AAA로 등급이 올랐다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
48,2619,opportunity,0.4502,0.6673,0.3333,1,1,1,1,,,,positive,0.9998,0.6674626469612122,윤리경영·준법,G,반부패 및 컴플라이언스,"KAI는 지난 2018년 부패방지 경영시스템을 도입해 ISO 37001 인증을 받았고, 2021년 인증을 갱신했다. 이번 심사로 규범준수 경영시스템과 함께 통합인증을 획득했다.",TRUE,영향도낮음(규모1·범위1) | 재무영향낮음(잠재규모1·가능성1)
